	Model	MSE	Size	Number	SE	Performance	T	T2
0	wind_speed	0.012209	1	0	0.004212	0	3.115021	3.115021
1	air_pressure	0.01107	1	1	0.002945	0	2.38236	2.38236
2	PPFD_Avg	0.014785	1	2	0.002786	0	6.6758	6.6758
3	AirTC_Avg	0.008944	1	3	0.003899	2	0	0
4	VPD	0.009802	1	4	0.002806	1	0.977568	0.977568
5	Temp	0.012024	1	5	0.007872	0	1.920143	1.920143
6	VWC	0.014004	1	6	0.002497	0	5.985221	5.985221
7	Sedge	0.009885	1	7	0.002674	1	1.089789	1.089789
8	Shrub	0.011208	1	8	0.002972	0	2.529238	2.529238
9	Grass	0.014765	1	9	0.003274	0	6.261365	6.261365
10	Upland	0.011665	1	10	0.002796	0	3.105852	3.105852
11	wind_speed+AirTC_Avg	0.007992	2	0	0.003398	1	0	-1.008982
12	wind_speed+VPD	0.008675	2	1	0.003931	1	0.720703	-0.266166
13	wind_speed+Sedge	0.008513	2	2	0.003321	1	0.601405	-0.460933
14	air_pressure+AirTC_Avg	0.008884	2	3	0.003972	1	0.935359	-0.059092
15	air_pressure+VPD	0.010031	2	4	0.003033	0	2.452353	1.204899
16	air_pressure+Sedge	0.009332	2	5	0.002922	1	1.638277	0.435934
17	PPFD_Avg+AirTC_Avg	0.008599	2	6	0.006435	1	0.45675	-0.251801
18	PPFD_Avg+VPD	0.009953	2	7	0.005757	1	1.607381	0.794874
19	PPFD_Avg+Sedge	0.010085	2	8	0.002795	0	2.60595	1.302287
20	AirTC_Avg+VPD	0.008846	2	9	0.003269	1	0.991832	-0.1064
21	AirTC_Avg+Temp	0.008607	2	10	0.003956	1	0.646454	-0.33251
22	AirTC_Avg+VWC	0.008692	2	11	0.003098	1	0.833763	-0.278083
23	AirTC_Avg+Sedge	0.008048	2	12	0.003378	1	0.064333	-0.951778
24	AirTC_Avg+Shrub	0.009045	2	13	0.002941	1	1.284266	0.113263
25	AirTC_Avg+Grass	0.008438	2	14	0.00333	1	0.513674	-0.541172
26	AirTC_Avg+Upland	0.009408	2	15	0.003477	1	1.59538	0.485752
27	VPD+Temp	0.010177	2	16	0.00483	0	2.026881	1.087736
28	VPD+VWC	0.009524	2	17	0.002864	0	1.888923	0.656445
29	VPD+Sedge	0.009227	2	18	0.003049	1	1.481626	0.312294
30	VPD+Shrub	0.008502	2	19	0.005962	1	0.4073	-0.340201
31	VPD+Grass	0.009311	2	20	0.003076	1	1.577098	0.404763
32	VPD+Upland	0.010059	2	21	0.003572	0	2.296658	1.154444
33	Temp+Sedge	0.009241	2	22	0.005564	1	1.049382	0.238952
34	VWC+Sedge	0.010661	2	23	0.00313	0	3.164278	1.880238
35	Sedge+Shrub	0.008243	2	24	0.002363	1	0.332085	-0.84319
36	Sedge+Grass	0.008674	2	25	0.003416	1	0.77565	-0.285702
37	Sedge+Upland	0.00993	2	26	0.003429	0	2.199662	1.040078
