system:time_start,NDVI_LS8
1-Jul-13,0.242
10-Jul-13,0.322
2-Aug-13,0.415
9-Aug-13,0.361
11-Aug-13,0.375
27-Jun-14,0.402
11-Jul-14,0.456
13-Jul-14,0.437
28-Aug-14,0.418
30-Jun-15,0.396
16-Jul-15,0.359
8-Aug-15,0.43
2-Jul-16,0.362
12-Jul-17,0.378
19-Jul-17,0.389
28-Jul-17,0.416
22-Jul-18,0.189
22-Jul-18,0.426
24-Jul-18,0.419
23-Aug-18,0.441
25-Aug-18,0.256
9-Jul-19,0.42
25-Jul-19,0.118
25-Jul-19,0.417
27-Jul-19,0.424
11-Sep-19,0.113
11-Jul-20,0.349
21-Aug-20,0.412
28-Aug-20,0.413
6-Sep-20,0.38
28-Jun-21,0.32
16-Jul-21,0.296
21-Jul-21,0.231
21-Jul-21,0.231
9-Sep-21,0.359
