datetime,Model: H+Water Table+Wind Spd+Active Layer,Model: H,Model: Water Table,Model: Wind Spd,Model: Active Layer,Model: H+Water Table,Model: H+Wind Spd,Model: H+Active Layer,Model: H+Water Table+Active Layer,Model: H+Wind Spd+Active Layer,BestModel: H+Wind Spd+Active Layer
2017-06-23 15:00:00,-1.3356874,-1.807867,-0.39973742,-0.58991474,-0.5581357,-1.8820722,-1.7136531,-1.4479198,-1.5979611,-1.2866598,-1.2707367
2017-06-23 15:30:00,-1.13521,-1.7522753,-0.40748945,-0.555101,-0.5583468,-1.8285632,-1.5219306,-1.3931196,-1.5148857,-1.0909244,-1.1355864
2017-06-23 16:00:00,-1.1120398,-1.7218949,-0.41524154,-0.55977994,-0.55855805,-1.797222,-1.4958628,-1.3643937,-1.4661256,-1.0727316,-1.1137244
2017-06-23 16:30:00,-1.1801051,-1.7877401,-0.41524154,-0.5554827,-0.5587692,-1.8551176,-1.5669534,-1.4291933,-1.5565467,-1.1379877,-1.1740193
2017-06-23 17:00:00,-1.1097472,-1.6241621,-0.41524154,-0.5954275,-0.5589804,-1.7112885,-1.4674561,-1.2789493,-1.334697,-1.0948632,-1.1050326
2017-06-23 17:30:00,-1.3109701,-1.6026189,-0.41911757,-0.6000748,-0.5591915,-1.6900318,-1.7058686,-1.2641236,-1.3035092,-1.2757251,-1.3040895
2017-06-23 18:00:00,-1.5527033,-1.5579437,-0.4229936,-0.50140464,-0.5594027,-1.648436,-1.9601023,-1.2330426,-1.2461497,-1.5623653,-1.5602877
2017-06-23 18:30:00,-1.4757386,-1.4958673,-0.42686963,-0.49415314,-0.5596139,-1.5911324,-1.8873643,-1.1947304,-1.1762116,-1.5330336,-1.5082915
2017-06-23 19:00:00,-1.2958535,-1.4186496,-0.43074566,-0.5223487,-0.55982506,-1.5127656,-1.7008772,-1.1661394,-1.0994506,-1.3912517,-1.3493438
2017-06-23 19:30:00,-1.1691447,-1.4237959,-0.43074566,-0.5831143,-0.56003624,-1.5179709,-1.520923,-1.1671978,-1.1046977,-1.2057583,-1.1909468
2017-06-23 20:00:00,-1.1943312,-1.3803102,-0.43074566,-0.54541355,-0.5602474,-1.4732842,-1.5807245,-1.157134,-1.0682399,-1.2961581,-1.2529844
2017-06-23 20:30:00,-1.0579468,-1.2935762,-0.43462172,-0.5411647,-0.5604586,-1.3617462,-1.4843445,-1.0929722,-0.9867913,-1.2482998,-1.1614224
2017-06-23 21:00:00,-0.8268492,-1.1766747,-0.43849772,-0.53661305,-0.5606697,-1.2112914,-1.387037,-0.8325636,-0.8407676,-1.0257044,-0.9678218
2017-06-23 21:30:00,-0.9953079,-1.1720406,-0.43849772,-0.4445881,-0.5608809,-1.2041706,-1.6198108,-0.8232971,-0.83419156,-1.2178872,-1.1239028
2017-06-23 22:00:00,-0.69746023,-0.9837642,-0.43849772,-0.4796899,-0.5610921,-0.94005054,-1.2219508,-0.57324916,-0.6330607,-0.854176,-0.8133494
2017-06-23 22:30:00,-0.33158302,-0.53564465,-0.43849772,-0.52256364,-0.56130326,-0.5289905,-0.6319767,-0.25364298,-0.32649678,-0.4270263,-0.37391952
2017-06-23 23:00:00,-0.13461627,-0.2814603,-0.43849772,-0.5405232,-0.56151444,-0.28550717,-0.33696097,-0.08111829,-0.15771191,-0.2072155,-0.13661723
2017-06-23 23:30:00,0.093570225,0.07308208,-0.43849772,-0.5206788,-0.5617256,0.041548718,-0.018248688,0.16477643,0.05711131,0.062285352,0.13906829
2017-06-24 00:00:00,0.18418728,0.21183132,-0.43849772,-0.51682174,-0.5619368,0.16681968,0.107591085,0.255125,0.13737933,0.16553329,0.24286781
2017-06-24 00:30:00,0.26549828,0.28502733,-0.43849772,-0.5087114,-0.5621479,0.2761852,0.20788066,0.3151468,0.2152028,0.2435535,0.31074297
2017-06-24 01:00:00,0.24723332,0.30410522,-0.43849772,-0.45118588,-0.5623591,0.32507443,0.28964216,0.34376603,0.2533753,0.24024294,0.30062175
2017-06-24 01:30:00,0.1449232,0.28726012,-0.43849772,-0.402173,-0.5625703,0.28212416,0.2548771,0.31782758,0.21887545,0.15003817,0.21913587
2017-06-24 02:00:00,0.029583383,0.2824797,-0.43849772,-0.332948,-0.56278145,0.26940912,0.19863306,0.31016254,0.20878266,0.065838926,0.14697216
2017-06-24 02:30:00,0.045936156,0.27769935,-0.43849772,-0.35424525,-0.56299263,0.25669414,0.20176505,0.30249745,0.19868998,0.07283258,0.15321855
2017-06-24 03:00:00,-0.07113839,0.250991,-0.43849772,-0.30966386,-0.5632038,0.2027779,0.08130991,0.2718233,0.158819,-0.027528506,0.056084204
2017-06-24 03:30:00,0.00210451,0.18471007,-0.43849772,-0.38910487,-0.563415,0.14226912,0.07658272,0.23719577,0.118948035,0.0020165336,0.07578545
2017-06-24 04:00:00,0.25481004,0.11476808,-0.43849772,-0.6172043,-0.56362617,0.0789687,0.021220554,0.19030379,0.07779317,0.19576852,0.29319602
2017-06-24 04:30:00,0.2721374,0.04425131,-0.43849772,-0.5465615,-0.5638373,0.015668381,0.10860681,0.14097999,0.035752166,0.23318563,0.2814746
2017-06-24 05:00:00,0.23924355,-0.026489895,-0.43849772,-0.5649272,-0.56404847,-0.04803778,0.030286837,0.09150266,-0.006692182,0.17868035,0.22372834
2017-06-24 05:30:00,-0.013991545,-0.09739024,-0.43849772,-0.5407214,-0.5642597,-0.113394685,-0.1675752,0.041594077,-0.05018313,-0.057923954,0.014027824
2017-06-24 06:00:00,-0.036140393,-0.16829063,-0.43849772,-0.5578056,-0.5644708,-0.18022148,-0.22796296,-0.0084494455,-0.093889095,-0.09496737,-0.023935627
2017-06-24 06:30:00,-0.16600643,-0.63941777,-0.44237378,-0.61327547,-0.564682,-0.6313764,-0.4644301,-0.33231542,-0.4068645,-0.26633486,-0.25341165
2017-06-24 07:00:00,-0.02780373,-0.21682651,-0.4462498,-0.58881074,-0.5648932,-0.22296496,-0.26514584,-0.042983305,-0.119942166,-0.0879047,-0.019696485
2017-06-24 07:30:00,-0.33915597,-0.3546113,-0.4462498,-0.44247878,-0.56510437,-0.35220447,-0.5234559,-0.13738449,-0.2080548,-0.3996165,-0.35420087
2017-06-24 08:00:00,-0.73888695,-0.79471064,-0.4462498,-0.40474984,-0.56531554,-0.7879564,-1.1032072,-0.4435517,-0.52034444,-0.80160105,-0.78958714
2017-06-24 08:30:00,-1.2278022,-1.1542084,-0.4462498,-0.35162985,-0.5655267,-1.1809511,-1.7451003,-0.79522216,-0.81768525,-1.3293631,-1.2538137
2017-06-24 09:00:00,-1.1167655,-1.1301008,-0.4462498,-0.37530708,-0.56573784,-1.1395833,-1.6657276,-0.7482069,-0.7811325,-1.234576,-1.1579766
2017-06-24 09:30:00,-1.2460246,-1.3611691,-0.4462498,-0.511426,-0.565949,-1.4509217,-1.6584178,-1.1555557,-1.0600394,-1.3872625,-1.3312558
2017-06-24 10:00:00,-0.98712885,-1.4267906,-0.4462498,-0.61004317,-0.5661602,-1.5165291,-1.2771533,-1.1726817,-1.1171345,-1.0047624,-0.9831568
2017-06-24 10:30:00,-1.0719452,-1.3343377,-0.45012584,-0.5800764,-0.5663714,-1.4227202,-1.4004817,-1.1460687,-1.0385287,-1.1746048,-1.1247158
2017-06-24 11:00:00,-1.1327319,-1.2910286,-0.45400187,-0.51080567,-0.56658256,-1.3685199,-1.5770535,-1.097301,-0.9911848,-1.3291527,-1.2375729
2017-06-24 11:30:00,-1.3028316,-1.374762,-0.45400187,-0.4943602,-0.56679374,-1.4626236,-1.7250819,-1.1605066,-1.0698315,-1.4452224,-1.3897972
2017-06-24 12:00:00,-1.4045411,-1.3882377,-0.45400187,-0.45924422,-0.5670049,-1.4762257,-1.8441589,-1.1641121,-1.0817549,-1.555015,-1.5027354
2017-06-24 12:30:00,-1.5496476,-1.5179727,-0.45400187,-0.4901329,-0.5672161,-1.5947758,-1.9303803,-1.2165326,-1.2086097,-1.5722691,-1.5636865
2017-06-24 13:00:00,-1.628807,-1.6589404,-0.45400187,-0.53987104,-0.5674272,-1.7187245,-2.0067637,-1.3214577,-1.3719647,-1.5510579,-1.580543
2017-06-24 13:30:00,-1.6564693,-1.699921,-0.4578779,-0.55215013,-0.56763846,-1.7524431,-2.0309749,-1.3611828,-1.4233593,-1.5634731,-1.5912148
2017-06-24 14:00:00,-1.6956813,-1.6635227,-0.46175393,-0.5201246,-0.5678496,-1.7181249,-2.06726,-1.3266842,-1.3726448,-1.6175418,-1.6486765
2017-06-24 14:30:00,-1.7693634,-1.7400959,-0.46175393,-0.5395193,-0.56806076,-1.7854532,-2.127423,-1.4008237,-1.4744802,-1.660096,-1.6848979
2017-06-24 15:00:00,-1.9411278,-1.72259,-0.46175393,-0.47199127,-0.56827193,-1.7700609,-2.2791197,-1.3841739,-1.4520686,-1.8447399,-1.8677529
2017-06-24 15:30:00,-1.8847415,-1.721873,-0.46562997,-0.49028924,-0.5684831,-1.7671162,-2.2306337,-1.3839017,-1.4484149,-1.7852407,-1.8125062
2017-06-24 16:00:00,-1.8043036,-1.6445531,-0.469506,-0.47509885,-0.5686943,-1.6968167,-2.1559966,-1.3101501,-1.3448837,-1.7416917,-1.7621522
2017-06-24 16:30:00,-1.652569,-1.6565052,-0.469506,-0.5326505,-0.5689055,-1.7073258,-2.0233138,-1.3220304,-1.3610415,-1.5728197,-1.6040299
2017-06-24 17:00:00,-1.9171164,-1.7832978,-0.469506,-0.51697975,-0.5691166,-1.8194723,-2.2520242,-1.4459674,-1.527931,-1.7918206,-1.8118517
2017-06-24 17:30:00,-1.4525807,-1.5812587,-0.47338203,-0.55781245,-0.5693278,-1.6388494,-1.8390781,-1.2641337,-1.2696551,-1.4253169,-1.4347603
2017-06-24 18:00:00,-1.4431133,-1.626012,-0.4772581,-0.5802538,-0.56953895,-1.6758853,-1.8273084,-1.2958952,-1.319281,-1.3874915,-1.4159886
2017-06-24 18:30:00,-1.4234424,-1.5907623,-0.4772581,-0.57141525,-0.56975013,-1.6448914,-1.8083273,-1.2714379,-1.279146,-1.3892956,-1.4067731
2017-06-24 19:00:00,-1.3045847,-1.519033,-0.4772581,-0.57894045,-0.5699613,-1.5818219,-1.676168,-1.2213455,-1.20595,-1.3037156,-1.3126138
2017-06-24 19:30:00,-1.2383165,-1.5116552,-0.48113412,-0.59539604,-0.5701725,-1.5730206,-1.5946203,-1.216474,-1.1971691,-1.231935,-1.2487917
2017-06-24 20:00:00,-1.0388297,-1.4255577,-0.48501015,-0.61711335,-0.5703836,-1.4950032,-1.3254321,-1.1760615,-1.1081512,-1.0557069,-1.048049
2017-06-24 20:30:00,-1.0278667,-1.3662076,-0.48501015,-0.6107004,-0.5705948,-1.4416821,-1.2889987,-1.1610825,-1.0556241,-1.0611598,-1.0305849
2017-06-24 21:00:00,-0.89594233,-1.2840353,-0.48501015,-0.6173738,-0.57080597,-1.3621399,-1.1706475,-1.0848919,-0.9785033,-0.98733217,-0.9032227
2017-06-24 21:30:00,-0.6449825,-1.1605009,-0.48501015,-0.6134186,-0.57101715,-1.2181103,-1.0248053,-0.8195285,-0.82359856,-0.7237414,-0.70744354
2017-06-24 22:00:00,-0.556431,-1.0923225,-0.48501015,-0.61671776,-0.5712283,-1.094056,-0.9376463,-0.69678664,-0.7197828,-0.6378572,-0.6408239
2017-06-24 22:30:00,-0.3325296,-0.6881519,-0.48888618,-0.60419047,-0.5714395,-0.6761519,-0.59050804,-0.37933576,-0.4236635,-0.38617224,-0.3721931
2017-06-24 23:00:00,-0.12948142,-0.2755292,-0.4927622,-0.5809017,-0.5716507,-0.26338503,-0.31205034,-0.09498251,-0.1433305,-0.15773858,-0.09408147
2017-06-24 23:30:00,0.022446323,-0.03534056,-0.4927622,-0.57024604,-0.57186186,-0.03665815,-0.12244139,0.071610026,0.0020341766,0.020635534,0.089455836
2017-06-25 00:00:00,0.18733333,0.2598158,-0.4927622,-0.52404654,-0.572073,0.19784735,0.14104174,0.26197016,0.17793773,0.19069515,0.26172853
2017-06-25 00:30:00,0.37713104,0.34563017,-0.4927622,-0.5281153,-0.5722842,0.3729475,0.3425113,0.3840189,0.34985155,0.36633873,0.42867327
2017-06-25 01:00:00,0.41998935,0.36936098,-0.4927622,-0.5127004,-0.5724954,0.42245466,0.4127577,0.41534215,0.39788514,0.404846,0.4626584
2017-06-25 01:30:00,0.63615406,0.46505743,-0.4927622,-0.49930516,-0.5727065,0.6220957,0.6622833,0.54420865,0.6040188,0.60083735,0.6556182
2017-06-25 02:00:00,0.5999255,0.4491856,-0.4927622,-0.50375175,-0.5729177,0.58898425,0.6198162,0.52239215,0.56529987,0.56890976,0.6243415
2017-06-25 02:30:00,0.43484086,0.39346027,-0.4927622,-0.44879076,-0.5731289,0.4727304,0.5142205,0.44670868,0.44584614,0.42196447,0.47574472
2017-06-25 03:00:00,0.61101127,0.4520244,-0.4927622,-0.51594216,-0.57334006,0.59490633,0.6175282,0.5255014,0.571864,0.580248,0.6360723
2017-06-25 03:30:00,0.6243452,0.4557734,-0.4927622,-0.52792054,-0.57355124,0.60272753,0.61689055,0.53020453,0.58080447,0.5931511,0.6476706
2017-06-25 04:00:00,0.5938518,0.44195527,-0.4927622,-0.53311723,-0.5737624,0.5739002,0.57831,0.5111636,0.54707396,0.56596327,0.62074363
2017-06-25 04:30:00,0.62775445,0.44649178,-0.4927622,-0.58119226,-0.5739736,0.583364,0.5442728,0.5169313,0.5579275,0.60601807,0.65753615
2017-06-25 05:00:00,0.50932705,0.40127254,-0.4927622,-0.5533097,-0.5741847,0.48902833,0.4590543,0.4554482,0.4597329,0.4953935,0.5572814
2017-06-25 05:30:00,0.46537638,0.3790117,-0.4927622,-0.56207204,-0.5743959,0.4425876,0.39838547,0.42499596,0.41387534,0.45516777,0.5239214
2017-06-25 06:00:00,0.22037159,0.27844554,-0.4927622,-0.52593815,-0.5746071,0.23278747,0.17970823,0.283588,0.20748435,0.22299646,0.29212093
2017-06-25 06:30:00,0.19728278,0.2793308,-0.4927622,-0.48911512,-0.57481825,0.23463432,0.20713972,0.28457558,0.20889704,0.19653188,0.24919342
2017-06-25 07:00:00,0.063705556,0.25785643,-0.4927622,-0.4220048,-0.57502943,0.19607489,0.1809225,0.25554734,0.17042832,0.08612298,0.14637117
2017-06-25 07:30:00,-0.15772535,-0.07469029,-0.4927622,-0.4462329,-0.5752406,-0.073441006,-0.18868048,0.038092304,-0.028883021,-0.17591538,-0.13110279
2017-06-25 08:00:00,-0.08581913,-0.039809834,-0.4927622,-0.47701666,-0.5754518,-0.04083578,-0.12803759,0.062155236,-0.008043359,-0.104814924,-0.058873605
2017-06-25 08:30:00,-0.111053474,-0.12742166,-0.4927622,-0.5079785,-0.5756629,-0.12274168,-0.20947091,0.00040422802,-0.061906528,-0.14072372,-0.08430607
2017-06-25 09:00:00,-0.5091497,-0.67686677,-0.4927622,-0.5126579,-0.5758741,-0.66356087,-0.80100536,-0.3797839,-0.42352104,-0.5768807,-0.5466278
2017-06-25 09:30:00,-0.72265655,-1.0193558,-0.49663824,-0.5206343,-0.57608527,-1.0051972,-1.181196,-0.62931585,-0.6504715,-0.833413,-0.8169887
