,Model,MSE,Size,Nodes,SE,r2,Performance,K,Thresh
17_114,AirTC_Avg+VPD+NR_Wm2_Avg+PPFD_Avg+Table_1+VWC_2+Active_Layer_1+Temp_2_5_1+Temp_5_1+Temp_15_1+Temp_2_5_2+Temp_5_2+Temp_15_2+u*+wind_speed+air_pressure+Wind_Direction,0.15057318475168513,17,114,0.02758098604973774,0.9329808447341715,0,30,0.17815417080142287
17_57,AirTC_Avg+VPD+NR_Wm2_Avg+PPFD_Avg+Table_1+VWC_2+Active_Layer_1+Temp_2_5_1+Temp_5_1+Temp_15_1+Temp_2_5_2+Temp_5_2+Temp_15_2+u*+wind_speed+air_pressure+Wind_Direction,0.16053273048230665,17,57,0.029238045415278805,0.9285479150408904,0,30,0.18977077589758545
17_38,AirTC_Avg+VPD+NR_Wm2_Avg+PPFD_Avg+Table_1+VWC_2+Active_Layer_1+Temp_2_5_1+Temp_5_1+Temp_15_1+Temp_2_5_2+Temp_5_2+Temp_15_2+u*+wind_speed+air_pressure+Wind_Direction,0.1605035268926963,17,38,0.030758826029662546,0.9285609133706372,0,30,0.19126235292235885
17_28,AirTC_Avg+VPD+NR_Wm2_Avg+PPFD_Avg+Table_1+VWC_2+Active_Layer_1+Temp_2_5_1+Temp_5_1+Temp_15_1+Temp_2_5_2+Temp_5_2+Temp_15_2+u*+wind_speed+air_pressure+Wind_Direction,0.1730326128081758,17,28,0.037115490947102446,0.9229842978816762,0,30,0.21014810375527826
17_22,AirTC_Avg+VPD+NR_Wm2_Avg+PPFD_Avg+Table_1+VWC_2+Active_Layer_1+Temp_2_5_1+Temp_5_1+Temp_15_1+Temp_2_5_2+Temp_5_2+Temp_15_2+u*+wind_speed+air_pressure+Wind_Direction,0.1820607247033606,17,22,0.04455847540189331,0.918965943392738,0,30,0.2266192001052539
8_228,VPD+NR_Wm2_Avg+PPFD_Avg+VWC_2+Active_Layer_1+Temp_5_1+Temp_5_2+Temp_15_2,0.17629399146614516,8,228,0.025001885940135207,0.9215326792351053,0,30,0.20129587740628035
8_114,VPD+NR_Wm2_Avg+PPFD_Avg+VWC_2+Active_Layer_1+Temp_5_1+Temp_5_2+Temp_15_2,0.18306234691841755,8,114,0.02080430179452306,0.9185201277924416,0,30,0.2038666487129406
8_76,VPD+NR_Wm2_Avg+PPFD_Avg+VWC_2+Active_Layer_1+Temp_5_1+Temp_5_2+Temp_15_2,0.18104145395934168,8,76,0.023145660846950203,0.9194196142396684,0,30,0.20418711480629187
8_57,VPD+NR_Wm2_Avg+PPFD_Avg+VWC_2+Active_Layer_1+Temp_5_1+Temp_5_2+Temp_15_2,0.18872640130386817,8,57,0.02056548523391757,0.9159990936460323,0,30,0.20929188653778574
8_45,VPD+NR_Wm2_Avg+PPFD_Avg+VWC_2+Active_Layer_1+Temp_5_1+Temp_5_2+Temp_15_2,0.19010566506623108,8,45,0.02410150118227745,0.9153851922239777,0,30,0.21420716624850852
