,val_loss,loss
0,-12.1113559786542,
1,-38.06077298272653,4.112054109573364
2,-48.30985914093565,-16.219631963306004
3,-54.716540840517474,-24.449434492323135
4,-59.75425346154141,-29.616017871432835
5,-64.46359766147052,-33.51583247714572
6,-71.01492044887695,-37.49709839291043
7,-78.10716301416495,-43.26105838351779
8,-84.3053247976113,-51.05229059855143
9,-89.30654881579943,-57.89539337158203
10,-93.21171154538949,-62.1665768093533
11,-96.1790850414223,-65.08650758531358
12,-98.63240255278895,-67.06131490071614
13,-100.68584328984834,-68.63182406955295
14,-102.2945248624718,-69.8797870212131
15,-103.49285768560205,-70.96042209201389
16,-104.54349161856678,-71.90106709798177
17,-105.40597301579092,-72.81723276774089
18,-106.11601598258038,-73.64720238579645
19,-106.7746218813368,-74.43885972764757
20,-107.3547327451972,-75.20824262830946
21,-107.89275270914176,-75.95057508680556
22,-108.37619576273687,-76.68804762098524
23,-108.81728902494766,-77.40902794731988
24,-109.22335024421433,-78.12359703911676
25,-109.5851759300289,-78.82458919949002
26,-109.93043718751208,-79.5178731282552
27,-110.22609626795666,-80.20104387071397
28,-110.52922825960525,-80.88754526774089
29,-110.7781443840479,-81.56250762939453
30,-110.9749162387088,-82.24070315890842
31,-111.17979842210671,-82.89907752143012
32,-111.35339239394047,-83.56226433648004
33,-111.51044157634219,-84.21819390190973
34,-111.65149353486133,-84.87794833713107
35,-111.76880520772174,-85.5493401421441
36,-111.87505105007217,-86.2146224975586
37,-111.99809396908103,-86.88934750027127
38,-112.06883675714887,-87.53995005289714
39,-112.13138705040829,-88.19319152832031
40,-112.21906378877115,-88.84573109944661
41,-112.26949158132788,-89.50313398573134
42,-112.2665173109784,-90.15008205837674
43,-112.2812626732298,-90.81402164035373
44,-112.33602348599301,-91.48569827609592
45,-112.3551252026007,-92.14639366997613
46,-112.34617582545337,-92.8154559665256
47,-112.33852804324542,-93.48965538872613
48,-112.36806907359347,-94.17345258924696
49,-112.45173595958497,-94.8603023952908
50,-112.39524757007204,-95.53946092393663
51,-112.37870547685965,-96.2323489718967
52,-112.38740161215641,-96.92146301269531
53,-112.35711792170764,-97.60953776041667
54,-112.35176987951971,-98.29395209418402
55,-112.45640749047952,-98.99256981743707
56,-112.5157954963555,-99.67979515923395
57,-112.53422180589926,-100.37163882785373
58,-112.55303480520666,-101.06944274902344
59,-112.64022624017709,-101.76459587944879
60,-112.6739040632172,-102.46800571017795
61,-112.74771884760534,-103.16212293836806
62,-112.7529908884094,-103.84574211968317
63,-112.84237707896061,-104.52589246961806
64,-112.89341869819687,-105.20757463243272
65,-112.91634617621206,-105.87866719563802
66,-113.09499428946658,-106.55914730495877
67,-113.14840172818933,-107.23125627305772
68,-113.21098478666815,-107.90610758463542
69,-113.33108589421231,-108.56653934054904
70,-113.38862574955381,-109.22774505615234
71,-113.42179325282336,-109.87741258409288
72,-113.47126930975818,-110.52258809407552
73,-113.52102728336456,-111.149415757921
74,-113.51939977022757,-111.71419949001736
75,-113.60017975013095,-112.25582800971137
76,-113.66984131136738,-112.7497804429796
77,-113.81904388756391,-113.23422580295139
78,-113.78390405804987,-113.68673282199435
79,-113.78259200926321,-114.13279215494792
80,-113.83264744186782,-114.57138994004991
81,-113.79762908519501,-114.99374898274739
82,-113.77712630940624,-115.41251373291016
83,-113.80738676544205,-115.82677629258897
84,-113.85405511970065,-116.22728729248047
