,Model,MSE,Size,Number,SE,Performance
0,H,0.7797315507884779,1,0,0.05693482984157141,1
1,LE,0.7894484462092469,1,1,0.06788784313590937,1
2,Wind Spd,1.003561959231667,1,2,0.06987760233497402,0
3,air pressure,1.0316265792830992,1,3,0.08702558315002565,0
4,Ta,1.0183888289379708,1,4,0.06381073916517944,0
5,Rn,0.8236490672550982,1,5,0.06687497085402755,0
6,PPFD,0.8155677595239074,1,6,0.06212448005225014,1
7,Water Table,1.0306626812856803,1,7,0.0703631723968242,0
8,Ts 2.5 cm Cent,1.0676210719812969,1,8,0.08677505302549349,0
9,Ts 5 cm Cent,0.9886742731370294,1,9,0.06417256095853908,0
10,Ts 15 cm Cent,1.0622604019025652,1,10,0.0509754253914764,0
11,Ts 2.5 cm Rim,1.003547324199246,1,11,0.0797706628065901,0
12,Ts 5 cm Rim,0.9485699022351433,1,12,0.064973442633114,0
13,Ts 15 cm Rim,0.9825022497247131,1,13,0.08161326093314636,0
14,Ts All Cent,0.9807057876515797,1,14,0.06356105632207337,0
15,Ts All Rim,0.9322814071307888,1,15,0.06639893333003938,0
16,VWC,1.0004269067301925,1,16,0.08539957583634729,0
17,Active Layer,0.9419232711422417,1,17,0.06311833236686767,0
18,24H Rain,1.0533595057942402,1,18,0.06656427297335459,0
19,VPD,0.970202749185426,1,19,0.07066326291118974,0
20,u*,0.9440197364160025,1,20,0.05126636951858335,0
21,fco2,0.7686999336356304,1,21,0.048891932510075876,2
22,H+fco2,0.7233370411568304,2,0,0.05651161541754117,1
23,LE+fco2,0.7358705461103904,2,1,0.057416977221265236,1
24,Wind Spd+fco2,0.6986032113018598,2,2,0.04393739207412397,1
25,air pressure+fco2,0.7699681743055568,2,3,0.05885569391832132,0
26,Ta+fco2,0.762001088020786,2,4,0.055168852793846306,0
27,Rn+fco2,0.7472371877302147,2,5,0.06552761825521092,0
28,PPFD+fco2,0.7443018717344048,2,6,0.06839472480096294,0
29,Water Table+fco2,0.7467255549951344,2,7,0.05744898794679266,0
30,Ts 2.5 cm Cent+fco2,0.7553657296963174,2,8,0.0744150582828315,0
31,Ts 5 cm Cent+fco2,0.7603404170880107,2,9,0.052916898219698014,0
32,Ts 15 cm Cent+fco2,0.7533697388502998,2,10,0.060096426505607356,0
33,Ts 2.5 cm Rim+fco2,0.7571965176286782,2,11,0.051011888321540126,0
34,Ts 5 cm Rim+fco2,0.7641985351325095,2,12,0.07347769185932816,0
35,Ts 15 cm Rim+fco2,0.7633642543542882,2,13,0.05117777699419944,0
36,Ts All Cent+fco2,0.7453505344985183,2,14,0.04905839896417301,0
37,Ts All Rim+fco2,0.7482628103034845,2,15,0.06367279654740558,0
38,VWC+fco2,0.7402547473291774,2,16,0.06145142044052735,0
39,Active Layer+fco2,0.7061399233031274,2,17,0.06673289279681019,1
40,24H Rain+fco2,0.7481883584359844,2,18,0.053724097230466276,0
41,VPD+fco2,0.7595231079422725,2,19,0.05559776544693605,0
42,u*+fco2,0.6826004597620642,2,20,0.055519409131451154,2
43,H+u*+fco2,0.6620847901862023,3,0,0.045451066846463384,1
44,LE+u*+fco2,0.6680237395704596,3,1,0.04923146975437638,1
45,Wind Spd+u*+fco2,0.674433813207671,3,2,0.06108208584661941,1
46,air pressure+u*+fco2,0.6631778454151734,3,3,0.05638078760773083,1
47,Ta+u*+fco2,0.6753543074992255,3,4,0.05216891872494644,1
48,Rn+u*+fco2,0.6750577344186106,3,5,0.05167273763176825,1
49,PPFD+u*+fco2,0.6733644375076656,3,6,0.05538398369239639,1
50,Water Table+u*+fco2,0.6499047385901436,3,7,0.05487282659599407,1
51,Ts 2.5 cm Cent+u*+fco2,0.6792127591556342,3,8,0.04529960596648557,1
52,Ts 5 cm Cent+u*+fco2,0.6741131097120325,3,9,0.04306812586934786,1
53,Ts 15 cm Cent+u*+fco2,0.6722765765355275,3,10,0.04862104013458055,1
54,Ts 2.5 cm Rim+u*+fco2,0.67303040037069,3,11,0.03594285207339762,1
55,Ts 5 cm Rim+u*+fco2,0.6790154732101116,3,12,0.04174357097187777,1
56,Ts 15 cm Rim+u*+fco2,0.6799296961281227,3,13,0.06506198039306078,1
57,Ts All Cent+u*+fco2,0.6662935112025206,3,14,0.04748305953922681,1
58,Ts All Rim+u*+fco2,0.6654918827319232,3,15,0.044529739500255607,1
59,VWC+u*+fco2,0.6738099513485658,3,16,0.039072573739891654,1
60,Active Layer+u*+fco2,0.6420722190747356,3,17,0.060262863008791065,2
61,24H Rain+u*+fco2,0.661945815599697,3,18,0.04351365501163488,1
62,VPD+u*+fco2,0.6664400680205904,3,19,0.054206469483938716,1
63,H+Active Layer+u*+fco2,0.6105707503684279,4,0,0.05718748958208967,1
64,LE+Active Layer+u*+fco2,0.6189754286019801,4,1,0.038460855203020956,1
65,Wind Spd+Active Layer+u*+fco2,0.6332211377856382,4,2,0.05182757755006991,1
66,air pressure+Active Layer+u*+fco2,0.6090873952355416,4,3,0.0409509421310311,1
67,Ta+Active Layer+u*+fco2,0.6269117649418258,4,4,0.04935478650852585,1
68,Rn+Active Layer+u*+fco2,0.6249410128796297,4,5,0.04028107670331015,1
69,PPFD+Active Layer+u*+fco2,0.6211917926580932,4,6,0.05304709358205164,1
70,Water Table+Active Layer+u*+fco2,0.5994593827434952,4,7,0.04405297197380245,2
