,Model,MSE,Size,Number,SE,Performance
0,H,0.007564756823814787,1,0,0.00047082610521868954,0
1,LE,0.00735187470515379,1,1,0.00042734091185709386,0
2,Wind Spd,0.02179128391617056,1,2,0.0009131055662599085,0
3,air pressure,0.020758699955568814,1,3,0.0008352432966152978,0
4,Ta,0.018657937581679773,1,4,0.0008819527154716117,0
5,Rn,0.007385184281770449,1,5,0.0004908856883163024,0
6,PPFD,0.006536610311929644,1,6,0.00044443929204114607,2
7,Water Table,0.021730574142278348,1,7,0.0009100986509362194,0
8,Ts 2.5 cm Cent,0.021288775819321114,1,8,0.0008527598723530122,0
9,Ts 5 cm Cent,0.018797900131695043,1,9,0.0007935564284536483,0
10,Ts 15 cm Cent,0.021379934094409615,1,10,0.0007715956109309572,0
11,Ts 2.5 cm Rim,0.019284791708915842,1,11,0.0008120970726075147,0
12,Ts 5 cm Rim,0.014746309888711793,1,12,0.0006059998321755504,0
13,Ts 15 cm Rim,0.016290763639022335,1,13,0.0007485976559788028,0
14,Ts All Cent,0.019421736058153106,1,14,0.0008206353895945711,0
15,Ts All Rim,0.013721537557430915,1,15,0.0005085219610095109,0
16,VWC,0.021559286064246803,1,16,0.0008429644403000354,0
17,Active Layer,0.02059157508125744,1,17,0.0010082091553767951,0
18,24H Rain,0.02158345530450319,1,18,0.0008771196569241651,0
19,VPD,0.014165029181731428,1,19,0.0005812818690986799,0
20,u*,0.020868145917844548,1,20,0.0007723248168625103,0
21,H+PPFD,0.006007068801454182,2,0,0.0004743963324574339,1
22,LE+PPFD,0.006105232314144557,2,1,0.00043918111684938176,1
23,Wind Spd+PPFD,0.005954706173993634,2,2,0.0004331232642286665,2
24,air pressure+PPFD,0.006248004803155528,2,3,0.0004397452427333996,1
25,Ta+PPFD,0.006035592190556518,2,4,0.00036942842485375373,1
26,Rn+PPFD,0.0062698112437605666,2,5,0.00038550987133965096,1
27,PPFD+Water Table,0.006363204504679843,2,6,0.00040716606749559845,1
28,PPFD+Ts 2.5 cm Cent,0.006379431866632084,2,7,0.0003145081097652789,1
29,PPFD+Ts 5 cm Cent,0.0062706938056150685,2,8,0.00044478351760186813,1
30,PPFD+Ts 15 cm Cent,0.006289018795601311,2,9,0.0004533741693446413,1
31,PPFD+Ts 2.5 cm Rim,0.006395027255345107,2,10,0.000310989071880578,0
32,PPFD+Ts 5 cm Rim,0.006506677382593237,2,11,0.0005181802055337694,0
33,PPFD+Ts 15 cm Rim,0.0064881636981886405,2,12,0.00039059772723056707,0
34,PPFD+Ts All Cent,0.006255955949788297,2,13,0.00040669311793554394,1
35,PPFD+Ts All Rim,0.0061238522154948745,2,14,0.00044794839866659874,1
36,PPFD+VWC,0.006155585695371896,2,15,0.0004004383491987548,1
37,PPFD+Active Layer,0.006142331272445134,2,16,0.000373923237645194,1
38,PPFD+24H Rain,0.006548846979655001,2,17,0.0003856882271312018,0
39,PPFD+VPD,0.00601919835307442,2,18,0.0003935771219982613,1
40,PPFD+u*,0.0064741838573567426,2,19,0.000493920562502562,0
41,H+Wind Spd+PPFD,0.00498096920169668,3,0,0.00024386347539203092,2
42,LE+Wind Spd+PPFD,0.005584765880850864,3,1,0.00042066831991553126,0
43,Wind Spd+air pressure+PPFD,0.005716610467554573,3,2,0.0003821341724314419,0
44,Wind Spd+Ta+PPFD,0.0052920413885424325,3,3,0.00026021111005331406,0
45,Wind Spd+Rn+PPFD,0.005813327602602055,3,4,0.0004643973705254156,0
46,Wind Spd+PPFD+Water Table,0.005751060083839886,3,5,0.00036954553856362283,0
47,Wind Spd+PPFD+Ts 2.5 cm Cent,0.00582353344925671,3,6,0.00037554994863884156,0
48,Wind Spd+PPFD+Ts 5 cm Cent,0.0057266737438983195,3,7,0.0004481895769118761,0
49,Wind Spd+PPFD+Ts 15 cm Cent,0.005781698984381598,3,8,0.00038544494928301426,0
50,Wind Spd+PPFD+Ts 2.5 cm Rim,0.0057346924098918995,3,9,0.00034213475359765565,0
51,Wind Spd+PPFD+Ts 5 cm Rim,0.0059702710555551665,3,10,0.00028304842298670614,0
52,Wind Spd+PPFD+Ts 15 cm Rim,0.005873298583009962,3,11,0.00039298985865867606,0
53,Wind Spd+PPFD+Ts All Cent,0.005632703401348041,3,12,0.00037412187279188276,0
54,Wind Spd+PPFD+Ts All Rim,0.005608136046156314,3,13,0.0004328509369123256,0
55,Wind Spd+PPFD+VWC,0.005501487397460654,3,14,0.00036958967582589294,0
56,Wind Spd+PPFD+Active Layer,0.005623775705738095,3,15,0.0004150680010330297,0
57,Wind Spd+PPFD+24H Rain,0.005982598415260085,3,16,0.00037620087489176015,0
58,Wind Spd+PPFD+VPD,0.005327233321621867,3,17,0.0003388813710707354,0
59,Wind Spd+PPFD+u*,0.005175085013228608,3,18,0.00030387917750368944,1
60,H+LE+Wind Spd+PPFD,0.004742043668366587,4,0,0.00028962242151784863,0
61,H+Wind Spd+air pressure+PPFD,0.0049585837014579385,4,1,0.00035171649493334877,0
62,H+Wind Spd+Ta+PPFD,0.00474007818160431,4,2,0.00027971098487721875,0
63,H+Wind Spd+Rn+PPFD,0.004925299209265056,4,3,0.00026979948318166415,0
64,H+Wind Spd+PPFD+Water Table,0.004828154404093335,4,4,0.0002555811709271638,0
65,H+Wind Spd+PPFD+Ts 2.5 cm Cent,0.004902716192386536,4,5,0.00031869226819440134,0
66,H+Wind Spd+PPFD+Ts 5 cm Cent,0.0047768534008114615,4,6,0.00025792366218628987,0
67,H+Wind Spd+PPFD+Ts 15 cm Cent,0.0049136321298989365,4,7,0.0003432717244011181,0
68,H+Wind Spd+PPFD+Ts 2.5 cm Rim,0.004829182412771989,4,8,0.00035713615282937294,0
69,H+Wind Spd+PPFD+Ts 5 cm Rim,0.004921938987437701,4,9,0.00029652810793293934,0
70,H+Wind Spd+PPFD+Ts 15 cm Rim,0.004787806835659133,4,10,0.000301749855819442,0
71,H+Wind Spd+PPFD+Ts All Cent,0.004789868829665302,4,11,0.00040397563685403424,0
72,H+Wind Spd+PPFD+Ts All Rim,0.004694226820663732,4,12,0.0003196426028707652,1
73,H+Wind Spd+PPFD+VWC,0.004455274998453266,4,13,0.0003211584475897301,1
