datetime,Model: PPFD_Avg+AirTC_Avg+Sedge+VWC+Grass,Model: PPFD_Avg,Model: AirTC_Avg,Model: Sedge,Model: VWC,Model: Grass,Model: PPFD_Avg+AirTC_Avg,Model: PPFD_Avg+Sedge,Model: PPFD_Avg+VWC,Model: PPFD_Avg+Grass,Model: PPFD_Avg+AirTC_Avg+Sedge,Model: PPFD_Avg+AirTC_Avg+VWC,Model: PPFD_Avg+AirTC_Avg+Grass,Model: PPFD_Avg+AirTC_Avg+Sedge+VWC,Model: PPFD_Avg+AirTC_Avg+VWC+Grass,BestModel: PPFD_Avg+AirTC_Avg+VWC
2016-07-10 16:30:00,-7.1863875,-6.9594,-5.421772,-1.5976336,-1.8306092,-1.6308889,-7.6503935,-6.6481586,-7.469398,-6.6292205,-6.9957724,-8.151471,-7.4378858,-6.7311935,-7.3180075,-8.152066
2016-07-10 17:00:00,-7.0820913,-6.8366976,-5.4733562,-1.5976336,-1.8306092,-1.6308889,-7.510242,-6.5349555,-7.359754,-6.5224977,-6.8850255,-8.039102,-7.3493276,-6.6309595,-7.256604,-8.039955
2016-07-10 17:30:00,-5.1106877,-5.113002,-5.42814,-1.5976336,-1.8306092,-1.6308889,-5.3894033,-4.9803333,-5.301325,-5.056879,-4.9641685,-5.9988265,-5.4977574,-4.995886,-5.5586257,-5.999127
2016-07-10 18:00:00,-4.049823,-4.1523385,-5.1368895,-1.5976336,-1.8306092,-1.6308889,-3.9783823,-4.0735974,-3.7836351,-4.007791,-3.832566,-4.5437927,-4.1471024,-3.8436315,-4.350249,-4.545093
2016-07-10 18:30:00,-6.226564,-6.0078745,-5.2128863,-1.5976336,-1.8306092,-1.6308889,-6.5658474,-5.785206,-6.534704,-5.802478,-6.012212,-7.2227535,-6.5025043,-5.8257394,-6.541011,-7.2233996
2016-07-10 19:00:00,-5.696414,-5.568073,-5.415828,-1.5976336,-1.8306092,-1.6308889,-6.121243,-5.390176,-5.990058,-5.441704,-5.5365367,-6.666556,-6.0862846,-5.4571204,-6.1128454,-6.667755
2016-07-10 19:30:00,-5.1223445,-5.0633426,-5.1568437,-1.5976336,-1.8306092,-1.6308889,-5.3424582,-4.937399,-5.2186913,-5.009244,-4.880008,-6.0322585,-5.399572,-4.896433,-5.538457,-6.0326405
2016-07-10 20:00:00,-4.6590185,-4.618697,-4.792144,-1.5976336,-1.8306092,-1.6308889,-4.687172,-4.5492105,-4.486403,-4.52417,-4.323774,-5.390516,-4.742971,-4.384218,-5.0143104,-5.3913445
2016-07-10 20:30:00,-4.159308,-4.198738,-4.754358,-1.5976336,-1.8306092,-1.6308889,-4.074984,-4.1222224,-3.849784,-4.0536633,-3.848002,-4.6872582,-4.1575046,-3.8388813,-4.4233065,-4.6883397
2016-07-10 21:00:00,-3.657172,-3.807215,-4.971522,-1.5976336,-1.8306092,-1.6308889,-3.5494676,-3.7204719,-3.2821825,-3.6688745,-3.4391377,-3.998622,-3.7497284,-3.377951,-3.8579454,-4.0000014
2016-07-10 21:30:00,-2.9422908,-3.2958353,-4.785945,-1.5976336,-1.8306092,-1.6308889,-2.864146,-3.199022,-2.5456755,-3.0085783,-2.7007833,-3.177457,-3.169505,-2.7257488,-3.1608267,-3.1787639
2016-07-10 22:00:00,-2.3729522,-2.650138,-4.663925,-1.5976336,-1.8306092,-1.6308889,-2.1971083,-2.459662,-1.9332227,-2.1887894,-2.072452,-2.5217893,-2.5910132,-2.1684642,-2.5737977,-2.5230734
2016-07-10 22:30:00,-1.7692516,-1.7582927,-4.454615,-1.5976336,-1.8306092,-1.6308889,-1.3853635,-1.5573924,-1.3400202,-1.3032824,-1.3617047,-1.8660566,-1.8021317,-1.5728196,-1.8837762,-1.8627892
2016-07-10 23:00:00,-1.3993102,-1.031165,-4.31516,-1.6339115,-1.8306092,-1.6109948,-0.77187145,-0.7266989,-0.80311865,-0.6784227,-0.8281038,-1.3165169,-1.210577,-1.164703,-1.3357365,-1.3146069
2016-07-10 23:30:00,-0.82782996,-0.17324507,-4.097988,-1.6288897,-1.8306092,-1.6510301,-0.09593665,0.004341847,-0.19480467,0.030712372,-0.28833473,-0.66999173,-0.5017456,-0.6017828,-0.6739397,-0.6683265
2016-07-11 00:00:00,-0.28478265,0.506004,-3.8037555,-1.623868,-1.8306092,-1.6910653,0.43626416,0.55578315,0.32408154,0.62359726,0.17656493,-0.11212777,0.10670496,-0.13920939,-0.100974314,-0.11134433
2016-07-11 00:30:00,0.12355436,0.9875046,-3.6118076,-1.6188462,-1.8306092,-1.7311004,0.80684745,0.94788873,0.7013217,1.1019729,0.51736176,0.30224168,0.54431665,0.19604373,0.3152715,0.30286372
2016-07-11 01:00:00,0.49596727,1.3263808,-3.3798165,-1.6138957,-1.8306092,-1.7711357,1.0660425,1.2224051,0.9708098,1.4449602,0.78153193,0.60628164,0.9349426,0.47488105,0.6487948,0.6074165
2016-07-11 01:30:00,0.74161375,1.5661458,-3.2805784,-1.6089468,-1.8306092,-1.8111709,1.2654563,1.4117244,1.1627256,1.6967553,0.9637681,0.8278557,1.2213279,0.6651398,0.8626231,0.82895696
2016-07-11 02:00:00,0.9569479,1.7082502,-3.1282392,-1.6039978,-1.8306092,-1.8512062,1.4385031,1.515884,1.2764705,1.8635229,1.098785,0.9727973,1.4539441,0.81370413,1.0565466,0.9735156
2016-07-11 02:30:00,1.1109909,1.7939671,-3.0755732,-1.5990489,-1.8306092,-1.8937708,1.5316943,1.5720881,1.3457302,1.9799746,1.171635,1.0538017,1.5993887,0.89137876,1.1617366,1.0545024
2016-07-11 03:00:00,1.1549169,1.8071522,-3.235747,-1.5940999,-1.8306092,-1.9275542,1.4799024,1.5670813,1.35661,2.021825,1.121236,1.0462023,1.6452957,0.8474685,1.112399,1.0472306
2016-07-11 03:30:00,1.2473603,1.7623125,-3.1809049,-1.5891509,-1.8306092,-1.9499946,1.4636649,1.513106,1.319744,1.9539989,1.1013273,1.0147082,1.7124776,0.8446864,1.0990328,1.0157083
2016-07-11 04:00:00,1.0308303,1.7146181,-3.1565306,-1.588998,-1.8306092,-1.8826462,1.4328617,1.4717501,1.2815682,1.9039646,1.075698,0.97625005,1.4806176,0.8239323,1.0586435,0.9772359
2016-07-11 04:30:00,0.9575678,1.5711397,-3.1408613,-1.5889843,-1.8306092,-1.8839557,1.3186291,1.3482004,1.1667229,1.7882255,0.9822141,0.84910905,1.3750216,0.74029696,0.9531623,0.8498846
2016-07-11 05:00:00,0.4814273,1.1318265,-3.1295447,-1.5889747,-1.8306092,-1.7054856,0.95919645,0.9700173,0.8156208,1.1860272,0.68521917,0.4653374,0.87207973,0.47101223,0.5995244,0.4655398
2016-07-11 05:30:00,0.21343672,1.0833925,-3.1177928,-1.5889747,-1.8306092,-1.5592581,0.92408407,0.9283265,0.77716434,1.030996,0.655573,0.4257301,0.80124533,0.44509566,0.5763129,0.42594206
2016-07-11 06:00:00,0.24182642,0.610489,-3.1086526,-1.5889775,-1.8306092,-1.7801301,0.57092535,0.52580297,0.4058615,0.8616568,0.34708488,0.035951026,0.49405086,0.15739048,0.18032789,0.03630341
2016-07-11 06:30:00,0.25385916,0.022307878,-3.166977,-1.5890621,-1.8306092,-1.9463797,0.12678838,0.033262976,-0.052631013,0.5574349,-0.03591489,-0.42524946,0.42760742,-0.204916,-0.27888286,-0.4246509
2016-07-11 07:00:00,-0.28088975,-1.1056285,-3.106041,-1.589134,-1.8306092,-1.9481692,-0.7694553,-0.9370245,-0.85647744,-0.46934664,-0.7540618,-1.2617829,-0.3419478,-0.8261088,-1.142724,-1.2608784
2016-07-11 07:30:00,-1.4161297,-2.929329,-3.158707,-1.5892059,-1.8306092,-1.9499209,-2.4684162,-2.7692652,-2.156659,-2.7545297,-2.2513628,-2.6942928,-2.1656618,-1.984837,-2.5758967,-2.6954017
2016-07-11 08:00:00,-1.874253,-3.3515897,-3.252722,-1.5892777,-1.8306092,-1.9516577,-2.9932082,-3.2673104,-2.6233814,-3.4361765,-2.7353551,-3.2241676,-2.7789378,-2.4483602,-3.1267085,-3.2250938
2016-07-11 08:30:00,-1.3273565,-2.8648934,-3.056857,-1.5893495,-1.8306092,-1.9533944,-2.40429,-2.7028408,-2.10352,-2.6621299,-2.1816893,-2.628459,-2.0805104,-1.9197912,-2.4906213,-2.6295755
2016-07-11 09:00:00,-0.15811169,-1.1861289,-2.7056062,-1.5894214,-1.8306092,-1.9551312,-0.8124473,-1.0078251,-0.91499984,-0.60804737,-0.7676513,-1.3204343,-0.32840443,-0.7755157,-1.1065527,-1.3195896
2016-07-11 09:30:00,-1.3993977,-3.1404262,-2.619255,-1.5894933,-1.8306092,-1.9568679,-2.7226365,-2.9844987,-2.3329523,-3.0516627,-2.4049602,-2.5477047,-2.3658607,-2.0673082,-2.4709656,-2.5480769
2016-07-11 10:00:00,-1.3734303,-3.127001,-2.587996,-1.5895652,-1.8306092,-1.9586047,-2.7101073,-2.9700677,-2.3213758,-3.0327172,-2.3918366,-2.5117843,-2.3502955,-2.0507874,-2.4436555,-2.5121653
2016-07-11 10:30:00,-1.1951588,-2.9147844,-2.5210752,-1.5894397,-1.8306092,-1.9536582,-2.4791203,-2.7543943,-2.1446643,-2.7337859,-2.1974857,-2.315776,-2.1042666,-1.8729111,-2.209842,-2.316194
2016-07-11 11:00:00,-1.6419568,-3.2566829,-2.4312603,-1.5891329,-1.8306092,-1.9313393,-2.9292338,-3.1520212,-2.4846983,-3.3342285,-2.553202,-2.5106764,-2.5758235,-2.174017,-2.3934698,-2.511039
2016-07-11 11:30:00,-1.0246058,-2.4643195,-2.3027022,-1.590032,-1.8306092,-1.8615774,-1.9663905,-2.270403,-1.7914449,-2.0849187,-1.7354306,-1.8495728,-1.5932329,-1.4809818,-1.6561201,-1.8468341
2016-07-11 12:00:00,-1.5128022,-2.7193272,-2.1855907,-1.5889816,-1.8306092,-1.7527113,-2.2634335,-2.5427203,-1.9851333,-2.3534427,-1.975279,-1.9324951,-2.033417,-1.6394533,-1.7299457,-1.9299166
2016-07-11 12:30:00,-1.0701103,-1.9979687,-2.035801,-1.5889748,-1.8306092,-1.6840084,-1.4896041,-1.8081474,-1.4837484,-1.5531417,-1.3305713,-1.4467798,-1.3943594,-1.0934385,-1.2993742,-1.4444845
2016-07-11 13:00:00,-1.262939,-1.9407846,-1.9655578,-1.5889747,-1.8306092,-1.6086508,-1.4291881,-1.7560648,-1.4498596,-1.4549189,-1.2842543,-1.3856575,-1.4926567,-1.0360335,-1.3346913,-1.3834096
2016-07-11 13:30:00,-2.505369,-3.3005486,-1.9491086,-1.5889747,-1.8306092,-1.6283866,-3.0888162,-3.2055452,-2.5529003,-3.0142195,-2.584689,-2.2428017,-2.8740208,-2.1261365,-2.264527,-2.2433856
2016-07-11 14:00:00,-2.8580706,-3.4966757,-1.9788952,-1.5889747,-1.8306092,-1.6170921,-3.418251,-3.416883,-2.8187866,-3.273565,-2.853604,-2.488876,-3.1425145,-2.420232,-2.5371308,-2.4893825
2016-07-11 14:30:00,-2.7433019,-3.3437178,-1.9611121,-1.5889747,-1.8306092,-1.5691915,-3.1654115,-3.2577448,-2.6125038,-3.034131,-2.6454163,-2.2997992,-3.0225155,-2.1931517,-2.4642258,-2.3003652
2016-07-11 15:00:00,-1.7522137,-2.6614835,-1.8591832,-1.5889747,-1.8306092,-1.6447203,-2.214941,-2.4823108,-1.9417349,-2.2108002,-1.9174469,-1.729478,-2.1499488,-1.5057603,-1.734036,-1.7270743
2016-07-11 15:30:00,-2.32867,-3.2488112,-1.7821815,-1.5889748,-1.8306092,-1.6516025,-3.0452027,-3.1421084,-2.4724247,-2.9411452,-2.5364838,-2.0998018,-2.7751458,-2.0028903,-2.1211574,-2.1004312
2016-07-11 16:00:00,-2.2373457,-3.1457477,-1.7531357,-1.5889747,-1.8306092,-1.629703,-2.8505108,-2.9908426,-2.3377872,-2.7629843,-2.4104233,-1.9876038,-2.664493,-1.8650316,-2.0439594,-1.9882725
2016-07-11 16:30:00,-2.1429596,-2.985703,-1.7236931,-1.5889747,-1.8306092,-1.6078037,-2.6425862,-2.8262856,-2.2031498,-2.5655816,-2.2563848,-1.8719447,-2.5278103,-1.7226411,-1.9740807,-1.8694894
2016-07-11 17:00:00,-2.052369,-2.8224435,-1.6942506,-1.5889747,-1.8306092,-1.5859044,-2.4238791,-2.656639,-2.0685124,-2.3570008,-2.095492,-1.7485342,-2.371356,-1.5763459,-1.904736,-1.7461495
2016-07-11 17:30:00,-2.0082407,-2.841047,-1.677229,-1.5889747,-1.8306092,-1.6064513,-2.4506383,-2.677536,-2.0838544,-2.3924592,-2.1178808,-1.7524539,-2.3716097,-1.5861702,-1.8687558,-1.7500701
2016-07-11 18:00:00,-1.2558628,-1.9286834,-1.620599,-1.5889747,-1.8306092,-1.5995251,-1.3264958,-1.7450432,-1.4426869,-1.4392738,-1.2636926,-1.2066069,-1.4149022,-0.9172711,-1.2554951,-1.2045218
2016-07-11 18:30:00,-0.9339733,-1.6602815,-1.6029855,-1.5889747,-1.8305948,-1.6323761,-1.0267199,-1.479753,-1.2817786,-1.2150762,-1.0484306,-1.0764219,-1.1275529,-0.7403307,-1.020958,-1.0744171
2016-07-11 19:00:00,-0.5697465,-1.0922838,-1.5608492,-1.5889747,-1.8305801,-1.6166197,-0.4262694,-0.92581695,-0.8490106,-0.72642004,-0.59894025,-0.73734117,-0.6180788,-0.36740673,-0.6230793,-0.7364727
2016-07-11 19:30:00,-0.36080492,-0.8495097,-1.5361785,-1.5889747,-1.8305874,-1.6291589,-0.20307052,-0.71485496,-0.67628276,-0.5315132,-0.40103936,-0.56993735,-0.38824165,-0.21478403,-0.43179023,-0.5691339
2016-07-11 20:00:00,-0.027138228,-0.2781427,-1.5222145,-1.5889747,-1.8305948,-1.6170454,0.29877675,-0.21890414,-0.2695496,-0.07086872,0.06049276,-0.1936822,0.088986285,0.1588552,-0.056208484,-0.19311762
2016-07-11 20:30:00,0.35289466,0.24497545,-1.4996018,-1.5889747,-1.8305948,-1.628639,0.7527932,0.21787798,0.11731685,0.36272871,0.49554384,0.17322898,0.60296786,0.51400316,0.3465196,0.17380762
2016-07-11 21:00:00,0.56261766,0.5429944,-1.4763764,-1.5889747,-1.8305948,-1.6303769,1.0134007,0.46852267,0.35333526,0.61061037,0.7475308,0.42689717,0.8976575,0.7267343,0.5792831,0.42736232
2016-07-11 21:30:00,0.7886554,0.68640006,-1.4791906,-1.5889747,-1.8305874,-1.674415,1.133238,0.59020627,0.46572864,0.76026094,0.8649491,0.5325872,1.1575681,0.82509625,0.73091495,0.5330709
2016-07-11 22:00:00,0.65235555,0.34658563,-1.5001993,-1.5889747,-1.8305801,-1.7147123,0.83868754,0.30226028,0.19828999,0.5176748,0.5765077,0.24443996,0.9369739,0.5815023,0.5303558,0.24502957
2016-07-11 22:30:00,0.38805115,0.4730345,-1.4926876,-1.5889747,-1.8305584,-1.5933748,0.9485179,0.40915954,0.2993313,0.5349878,0.68283045,0.34585154,0.72184527,0.6705493,0.43161714,0.34633005
2016-07-11 23:00:00,0.64671266,1.0295566,-1.4677644,-1.5889747,-1.8305366,-1.5510992,1.425805,0.88210976,0.7362281,0.9816655,1.1529685,0.81194246,1.1555248,1.0734273,0.74660695,0.8124317
2016-07-11 23:30:00,0.84575593,1.2977384,-1.4662308,-1.5889747,-1.8305366,-1.549013,1.6525222,1.11283,0.95077455,1.2081383,1.3759857,1.0281285,1.4072629,1.2609726,0.93690956,1.0286387
2016-07-12 00:00:00,1.0907961,1.5028092,-1.4659432,-1.5889747,-1.8305366,-1.57396,1.8218337,1.2893506,1.11492,1.3918155,1.5410007,1.1907173,1.6847619,1.4021608,1.1422433,1.1912471
2016-07-12 00:30:00,1.3524674,1.696412,-1.4671893,-1.5889747,-1.830522,-1.6088643,1.9801272,1.4559997,1.2742981,1.5662037,1.6940132,1.3373958,1.9627298,1.5335497,1.3525442,1.3379356
2016-07-12 01:00:00,1.5389553,1.8476857,-1.4661349,-1.5889747,-1.8305074,-1.6328574,2.1058826,1.5845798,1.4006304,1.7025806,1.8150648,1.4585172,2.159569,1.6419188,1.4994739,1.4589988
2016-07-12 01:30:00,1.6989843,1.9494153,-1.4586318,-1.5889748,-1.8305147,-1.6568505,2.1984384,1.6704313,1.4838167,1.8006643,1.9028238,1.5687524,2.317794,1.7327119,1.6391667,1.5692207
2016-07-12 02:00:00,1.4731818,2.0105064,-1.4586831,-1.5889747,-1.830522,-1.5696579,2.2483976,1.7219857,1.5334696,1.8084522,1.952073,1.6174079,2.1733131,1.7725381,1.5086614,1.6178831
2016-07-12 02:30:00,1.7284476,2.0545805,-1.4594867,-1.5889747,-1.8305147,-1.639357,2.2834504,1.7591809,1.570592,1.8688611,1.986421,1.6476194,2.3753474,1.8005043,1.6803728,1.6481026
2016-07-12 03:00:00,1.6593469,2.0610273,-1.4589082,-1.5889747,-1.8305074,-1.6117861,2.2950284,1.7646214,1.5766672,1.8610252,1.9975744,1.6717657,2.317302,1.8218585,1.6474603,1.6722327
2016-07-12 03:30:00,1.9058889,2.0922358,-1.4615545,-1.5889759,-1.8305074,-1.6764141,2.3323,1.7909626,1.6024181,1.9425985,2.0339966,1.7336057,2.4651706,1.8725854,1.8127946,1.7340456
2016-07-12 04:00:00,1.9999186,2.0666556,-1.4477042,-1.5889884,-1.8305074,-1.7096801,2.3191535,1.769416,1.5813113,1.9692196,2.020884,1.7521774,2.4885304,1.8861555,1.8654748,1.752582
2016-07-12 04:30:00,2.1036122,2.0302181,-1.4232084,-1.588975,-1.8304929,-1.7873632,2.294421,1.7386218,1.5527557,2.0448,1.9974467,1.7544233,2.5351617,1.8881928,1.957173,1.7547964
2016-07-12 05:00:00,1.7214206,1.9721924,-1.4153312,-1.5889747,-1.8304783,-1.6324775,2.2504442,1.6896523,1.5063874,1.8009399,1.9540309,1.7293929,2.2510655,1.86592,1.7082416,1.7297415
2016-07-12 05:30:00,1.8272725,1.8814281,-1.4146904,-1.588979,-1.8304783,-1.6908836,2.1783206,1.6130694,1.4314941,1.7882332,1.8816496,1.6717364,2.2565086,1.8134352,1.7506205,1.6720637
2016-07-12 06:00:00,1.4420978,1.7161242,-1.4153694,-1.5889747,-1.8304783,-1.6036842,2.0435774,1.4729673,1.2950951,1.5785254,1.7452129,1.5447322,1.9441046,1.7032222,1.4673117,1.5450376
2016-07-12 06:30:00,1.3262016,1.5357591,-1.4151868,-1.5889747,-1.8304638,-1.6111493,1.8954729,1.3177129,1.1477789,1.4327048,1.5951425,1.3971001,1.7854337,1.5801562,1.3506905,1.397389
2016-07-12 07:00:00,1.1628903,1.1009642,-1.4179914,-1.5889755,-1.8304491,-1.6675612,1.533408,0.9434546,0.7967397,1.1156834,1.235406,1.0594226,1.4738125,1.282559,1.1534113,1.0596682
2016-07-12 07:30:00,0.647395,0.7345146,-1.4164215,-1.5889747,-1.8303908,-1.5927032,1.2237939,0.6310326,0.508535,0.7533926,0.9317666,0.7587019,1.005874,1.0110105,0.71211493,0.7589201
2016-07-12 08:00:00,0.35890496,0.4751786,-1.417599,-1.5889747,-1.8303326,-1.5703183,1.0051829,0.41097915,0.30622137,0.5261234,0.71695364,0.5528625,0.7427727,0.82495725,0.45315015,0.55304563
2016-07-12 08:30:00,-0.3476987,-0.20063365,-1.414938,-1.5889747,-1.8303252,-1.5056719,0.43140447,-0.1527977,-0.22076094,-0.024357432,0.14324307,0.020179635,0.062216528,0.31716335,-0.21255875,0.020428663
2016-07-12 09:00:00,0.02296186,-0.34332693,-1.4223057,-1.5889747,-1.830318,-1.6509626,0.3071879,-0.27449882,-0.32974398,-0.10855209,0.020613438,-0.10520386,0.12628484,0.20859134,0.025498992,-0.10458361
2016-07-12 09:30:00,-0.28382194,-0.46657455,-1.4179486,-1.5889747,-1.8303108,-1.583497,0.20370102,-0.3796152,-0.41994715,-0.23860204,-0.08458053,-0.1836325,-0.06633686,0.12622929,-0.22639549,-0.18299437
2016-07-12 10:00:00,-0.60339296,-1.0394386,-1.4337338,-1.5889747,-1.8303034,-1.6111485,-0.3158077,-0.87940544,-0.83057314,-0.6849674,-0.5706793,-0.5980693,-0.51541436,-0.26156116,-0.5832609,-0.59742403
2016-07-12 10:30:00,-1.109009,-1.7936525,-1.4408574,-1.5889747,-1.8303034,-1.6333824,-1.0859095,-1.6119771,-1.414307,-1.3369514,-1.2398862,-1.0733775,-1.181933,-0.7477863,-1.0927098,-1.071591
2016-07-12 11:00:00,-1.7503307,-2.5325725,-1.458499,-1.5889747,-1.8303034,-1.608135,-2.0105238,-2.34435,-1.9033538,-2.0397043,-1.9122118,-1.5093162,-1.9612465,-1.2549689,-1.7040755,-1.5073376
2016-07-12 11:30:00,-1.9134411,-2.7191412,-1.4610872,-1.5889747,-1.8303108,-1.6065319,-2.2952197,-2.5425375,-2.0438359,-2.2489896,-2.097495,-1.642325,-2.1811888,-1.4092966,-1.8490763,-1.6402575
