,Model,MSE,Size,Number,HiddenNodes,SE,r2,Performance,Thresh
0,PPFD_Avg,0.5605335923436928,1,0,25,0.1007716864818799,-0.03102244831629375,0,0.6613052788255727
1,AirTC_Avg,0.3166847829425802,1,1,25,0.10383687192650588,0.4175030279830704,1,0.42052165486908605
2,VPD,0.365978687182899,1,2,25,0.09655240499750267,0.3268338468115696,0,0.46253109218040167
3,wind_speed,0.45948926312602445,1,3,25,0.14931571821400674,0.15483433729201712,0,0.6088049813400311
4,Temp,0.4287397388200396,1,4,25,0.1261846423422423,0.21139374830244395,0,0.5549243811622819
5,VWC,0.5202712924105594,1,5,25,0.11537190157117087,0.04303437114806308,0,0.6356431939817302
6,Sedge,0.35392549089489106,1,6,25,0.07652216059480801,0.3490040006018871,0,0.4304476514896991
7,Shrub,0.40695150228380605,1,7,25,0.10280474698564963,0.25147013495423265,0,0.5097562492694557
8,Grass,0.5234581017030342,1,8,25,0.09793979867535643,0.03717268513330252,0,0.6213979003783906
9,Out_of_Basin,0.41655972542914677,1,9,25,0.11795322329860795,0.2337971642588308,0,0.5345129487277547
10,Upland,0.44024402121001543,1,10,25,0.1279562811929919,0.1902332441723681,0,0.5682003024030073
11,PPFD_Avg+AirTC_Avg,0.28859342762197737,2,0,16,0.09352862722673064,0.469173112229176,0,0.382122054848708
12,AirTC_Avg+VPD,0.3042621605691956,2,1,16,0.09949499119018834,0.4403526889291043,0,0.4037571517593839
13,AirTC_Avg+wind_speed,0.32263099665018885,2,2,16,0.12787471705712994,0.4065658069159134,0,0.4505057137073188
14,AirTC_Avg+Temp,0.2704658102436706,2,3,16,0.07130940050754286,0.5025163064762446,1,0.3417752107512135
15,AirTC_Avg+VWC,0.2651149696365504,2,4,16,0.0973582921396117,0.5123584227359255,1,0.3624732617761621
16,AirTC_Avg+Sedge,0.2639139079900857,2,5,16,0.0811547905282765,0.514567606157278,1,0.3450686985183622
17,AirTC_Avg+Shrub,0.3123956830462587,2,6,16,0.10144253477700126,0.42539222202350013,0,0.41383821782325997
18,AirTC_Avg+Grass,0.27873856722142315,2,7,16,0.08988166831188017,0.4872997373534821,0,0.3686202355333033
19,AirTC_Avg+Out_of_Basin,0.3187012918920964,2,8,16,0.11302901115934302,0.4137939443124754,0,0.43173030305143945
20,AirTC_Avg+Upland,0.3092946501499041,2,9,16,0.09224160292917254,0.4310961344611841,0,0.40153625307907664
21,PPFD_Avg+AirTC_Avg+Temp,0.2729804700959646,3,0,12,0.08046186748474608,0.4978909445122016,0,0.3534423375807107
22,PPFD_Avg+AirTC_Avg+VWC,0.26050597498408684,3,1,12,0.08913606205231023,0.5208360180411254,0,0.34964203703639707
23,PPFD_Avg+AirTC_Avg+Sedge,0.2442795520243098,3,2,12,0.08845980068019793,0.5506822334257462,1,0.3327393527045077
24,AirTC_Avg+VPD+Temp,0.2714950462466014,3,3,12,0.0912308164480712,0.5006231720804983,0,0.3627258626946726
25,AirTC_Avg+VPD+VWC,0.26269899009020087,3,4,12,0.09834258294540177,0.5168022762015927,0,0.36104157303560264
26,AirTC_Avg+VPD+Sedge,0.28404358235126254,3,5,12,0.0866689842207251,0.4775419105929972,0,0.37071256657198765
27,AirTC_Avg+wind_speed+Temp,0.2884940365862982,3,6,12,0.12659207423669994,0.46935592801461046,0,0.4150861108229981
28,AirTC_Avg+wind_speed+VWC,0.2769844227956577,3,7,12,0.12866548291177435,0.49052623850391475,0,0.4056499057074321
29,AirTC_Avg+wind_speed+Sedge,0.25962208214318305,3,8,12,0.09930031069409292,0.522461814199153,0,0.358922392837276
30,AirTC_Avg+Temp+VWC,0.2594460254600296,3,9,12,0.10219811123363193,0.5227856456251135,0,0.3616441366936615
31,AirTC_Avg+Temp+Sedge,0.24511485798026486,3,10,12,0.08745350413793812,0.5491458059866678,1,0.33256836211820295
32,AirTC_Avg+Temp+Shrub,0.28030837392767727,3,11,12,0.08446586431614254,0.484412299426884,0,0.3647742382438198
33,AirTC_Avg+Temp+Grass,0.2537797738438619,3,12,12,0.08627732554561095,0.5332079159294689,0,0.34005709938947287
34,AirTC_Avg+Temp+Out_of_Basin,0.26298543805741526,3,13,12,0.09144400777614616,0.5162753955855037,0,0.3544294458335614
35,AirTC_Avg+Temp+Upland,0.2781107091108967,3,14,12,0.10232059777195417,0.48845459375308453,0,0.3804313068828509
36,AirTC_Avg+VWC+Sedge,0.24632749465704154,3,15,12,0.09296333445171769,0.5469153319303657,1,0.33929082910875924
37,AirTC_Avg+VWC+Shrub,0.27227838577871494,3,16,12,0.09794490551793784,0.49918232954528874,0,0.37022329129665277
38,AirTC_Avg+VWC+Grass,0.25405947723341493,3,17,12,0.11245169073575519,0.532693441012286,0,0.3665111679691701
39,AirTC_Avg+VWC+Out_of_Basin,0.2799956007256779,3,18,12,0.11344767618196996,0.4849876015977044,0,0.3934432769076479
40,AirTC_Avg+VWC+Upland,0.2753593235251569,3,19,12,0.09944825658778375,0.4935153793003175,0,0.3748075801129407
41,AirTC_Avg+Sedge+Shrub,0.25838205561975175,3,20,12,0.09390493227333009,0.5247426680134977,0,0.3522869878930818
42,AirTC_Avg+Sedge+Grass,0.2614422996305288,3,21,12,0.08091349056686863,0.5191137809752664,0,0.3423557901973974
43,AirTC_Avg+Sedge+Out_of_Basin,0.2471035613121665,3,22,12,0.1011920189588495,0.5454878668261282,1,0.348295580271016
