,Model,MSE,Size,Number,SE,Performance,T,T2
0,wind_speed,0.45406505,1,0,0.059001184,0,4.890417477,4.890417477
1,PPFD_Avg,0.444438525,1,1,0.043407149,0,5.033179326,5.033179326
2,AirTC_Avg,0.4221328,1,2,0.039259981,0,3.081944938,3.081944938
3,VPD,0.43696619,1,3,0.052444119,0,3.854264633,3.854264633
4,Temp,0.456025337,1,4,0.051149517,0,5.552866822,5.552866822
5,VWC,0.421833277,1,5,0.048975065,0,2.691404755,2.691404755
6,Sedge,0.403737404,1,6,0.036202585,0,1.292615398,1.292615398
7,Shrub,0.443053884,1,7,0.05220578,0,4.381325231,4.381325231
8,Grass,0.427618341,1,8,0.043712969,0,3.425711178,3.425711178
9,Upland,0.391322035,1,9,0.038170189,1,0,0
10,wind_speed+Upland,0.364825512,2,0,0.040259049,0,1.742358073,-2.615968687
11,PPFD_Avg+Upland,0.399849736,2,1,0.052107784,0,4.277529195,0.723120716
12,AirTC_Avg+Upland,0.382977512,2,2,0.042978367,0,3.259698799,-0.795124878
13,VPD+Upland,0.409766931,2,3,0.054396773,0,4.932649597,1.520280321
14,Temp+Upland,0.392249286,2,4,0.045801532,0,3.939329744,0.085183177
15,VWC+Upland,0.345218286,2,5,0.046672174,2,0,-4.188219423
16,Sedge+Upland,0.366709287,2,6,0.050227744,0,1.716788074,-2.136931938
17,Shrub+Upland,0.394920386,2,7,0.043327646,0,4.27473358,0.341322634
18,Grass+Upland,0.368490831,2,8,0.041650074,0,2.037738502,-2.213497114
19,wind_speed+VWC+Upland,0.30339304,3,0,0.035718166,0,5.208715849,-3.897920561
20,PPFD_Avg+VWC+Upland,0.350474428,3,1,0.041741236,0,9.581925317,0.459780153
21,AirTC_Avg+VWC+Upland,0.345324451,3,2,0.042126702,0,9.004538869,0.009248692
22,VPD+VWC+Upland,0.345263767,3,3,0.048394142,0,8.229279218,0.003705154
23,Temp+VWC+Upland,0.286637995,3,4,0.046224455,0,2.86190705,-4.884522919
24,VWC+Sedge+Upland,0.256796327,3,5,0.033542402,2,0,-8.426382914
25,VWC+Shrub+Upland,0.313968634,3,6,0.047906646,0,5.354567916,-2.559115742
26,VWC+Grass+Upland,0.257812925,3,7,0.031976997,1,0.120152002,-8.461903367
27,wind_speed+VWC+Sedge+Upland,0.243114053,4,0,0.041850969,1,1.482108529,-1.397267141
28,PPFD_Avg+VWC+Sedge+Upland,0.233288234,4,1,0.031552673,1,0.576607687,-2.796031832
29,AirTC_Avg+VWC+Sedge+Upland,0.246794784,4,2,0.033568401,0,2.080255922,-1.154383611
30,VPD+VWC+Sedge+Upland,0.24303329,4,3,0.036593479,1,1.587408908,-1.518584946
31,Temp+VWC+Sedge+Upland,0.228308027,4,4,0.03524774,2,0,-3.206878756
32,VWC+Sedge+Shrub+Upland,0.246281482,4,5,0.040501227,0,1.83353203,-1.095169248
33,VWC+Sedge+Grass+Upland,0.241877752,4,6,0.033265474,1,1.533524156,-1.729703189
34,wind_speed+Temp+VWC+Sedge+Upland,0.214601546,5,0,0.030358953,2,0,-1.613804906
35,PPFD_Avg+Temp+VWC+Sedge+Upland,0.218122383,5,1,0.032218264,1,0.435625928,-1.168265973
36,AirTC_Avg+Temp+VWC+Sedge+Upland,0.221124455,5,2,0.038511631,1,0.728553422,-0.753657629
37,VPD+Temp+VWC+Sedge+Upland,0.215577635,5,3,0.043494296,1,0.100793615,-1.245495094
38,Temp+VWC+Sedge+Shrub+Upland,0.218283902,5,4,0.03663805,1,0.423883989,-1.079935541
39,Temp+VWC+Sedge+Grass+Upland,0.219391906,5,5,0.025507505,1,0.661700151,-1.122424554
40,wind_speed+PPFD_Avg+Temp+VWC+Sedge+Upland,0.193799366,6,0,0.039417775,2,0,-2.290047048
41,wind_speed+AirTC_Avg+Temp+VWC+Sedge+Upland,0.199381451,6,1,0.03451691,1,0.5835415,-1.81350898
42,wind_speed+VPD+Temp+VWC+Sedge+Upland,0.195635968,6,2,0.026669456,1,0.211368131,-2.57065309
43,wind_speed+Temp+VWC+Sedge+Shrub+Upland,0.20054782,6,3,0.027058371,1,0.773098333,-1.892813364
44,wind_speed+Temp+VWC+Sedge+Grass+Upland,0.198646717,6,4,0.045120512,1,0.443139816,-1.606898474
45,wind_speed+PPFD_Avg+AirTC_Avg+Temp+VWC+Sedge+Upland,0.187015924,7,0,0.03656311,1,0.645644881,-0.691058964
46,wind_speed+PPFD_Avg+VPD+Temp+VWC+Sedge+Upland,0.182589829,7,1,0.035011913,1,0.173869694,-1.164548444
47,wind_speed+PPFD_Avg+Temp+VWC+Sedge+Shrub+Upland,0.181528783,7,2,0.02698119,1,0.064131797,-1.406993953
48,wind_speed+PPFD_Avg+Temp+VWC+Sedge+Grass+Upland,0.181006442,7,3,0.035526731,2,0,-1.320447368
49,wind_speed+PPFD_Avg+AirTC_Avg+Temp+VWC+Sedge+Grass+Upland,0.185900556,8,0,0.044003959,1,0.966896448,0.473981867
50,wind_speed+PPFD_Avg+VPD+Temp+VWC+Sedge+Grass+Upland,0.175844065,8,1,0.036179376,2,0,-0.557636535
51,wind_speed+PPFD_Avg+Temp+VWC+Sedge+Shrub+Grass+Upland,0.183017792,8,2,0.033937772,1,0.792089779,0.224226393
52,wind_speed+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Sedge+Grass+Upland,0.173011819,9,0,0.039569009,2,0,-0.289333572
53,wind_speed+PPFD_Avg+VPD+Temp+VWC+Sedge+Shrub+Grass+Upland,0.174483792,9,1,0.035544912,1,0.151576773,-0.146898886
