,Model,MSE,Size,Number,SE,Performance,T,T2
0,wind_speed,0.3654706996453632,1,0,0.032355398419853694,0,2.79041726941859,2.79041726941859
1,PPFD_Avg,0.37453880718722066,1,1,0.05412042002587144,0,2.1649344490732108,2.1649344490732108
2,AirTC_Avg,0.3309366126692675,1,2,0.014505210197768079,1,1.5097185221638196,1.5097185221638196
3,Temp,0.3793256645191361,1,3,0.05544681745874329,0,2.281235418471919,2.281235418471919
4,VWC,0.36915464752160015,1,4,0.0474738645867714,0,2.2138648678696673,2.2138648678696673
5,Sedge,0.3117486241736371,1,5,0.020874369879660196,1,0.0,0.0
6,Grass,0.35552937325622663,1,6,0.04053899596044774,1,1.9203054895247194,1.9203054895247194
7,Upland,0.3185267790606174,1,7,0.02881909098607559,1,0.38095767416134185,0.38095767416134185
8,wind_speed+AirTC_Avg,0.30605426815110925,2,0,0.025532904230129196,1,7.612106056106252,-0.3453236585979651
9,wind_speed+Sedge,0.24574521056476487,2,1,0.05063459141150263,2,2.0456409358567056,-2.4102641218884724
10,wind_speed+Grass,0.2968929892415425,2,2,0.04829761766672405,1,4.1460843765917526,-0.5646857875977565
11,wind_speed+Upland,0.2902876090302237,2,3,0.03659757256008809,1,4.951180737225412,-1.0187466603836803
12,PPFD_Avg+AirTC_Avg,0.33108961546871174,2,4,0.04500393710447906,1,5.848906618193259,0.7797307347170244
13,PPFD_Avg+Sedge,0.3165383197922907,2,5,0.013492613084914493,1,11.969365745471077,0.3854051377879127
14,PPFD_Avg+Grass,0.2990039011621522,2,6,0.022491531703907972,1,7.799552918884874,-0.8306637417305915
15,PPFD_Avg+Upland,0.31939977160999883,2,7,0.020022584039018868,1,9.99351696370739,0.5290374622602004
16,AirTC_Avg+Temp,0.3029628678647298,2,8,0.029572879085812978,1,6.636772976012136,-0.48542785153303974
17,AirTC_Avg+VWC,0.3279628832351629,2,9,0.030999421481824125,1,7.830535159650876,0.8677107947650258
18,AirTC_Avg+Sedge,0.2999439112318535,2,10,0.033996160635267815,1,5.777817855636442,-0.5918137779685831
19,AirTC_Avg+Grass,0.3106612408790774,2,11,0.035273012359020424,1,6.158391284861939,-0.053060060655233325
20,AirTC_Avg+Upland,0.29820935260342896,2,12,0.008637898902081663,1,11.763833466193471,-1.1986437431066204
21,Temp+Sedge,0.30815438193473904,2,13,0.04063190328476259,1,5.346945519680384,-0.15736504855076194
22,Temp+Grass,0.326319386766083,2,14,0.03308186625106274,1,7.343747593305512,0.7449813300595766
23,Temp+Upland,0.3307006192762481,2,15,0.026955850755553647,1,8.89014605687629,1.1117704448555654
24,VWC+Sedge,0.20770803708557023,2,16,0.027651224691085705,2,1.0188950768695229,-6.005961472258867
25,VWC+Grass,0.19144185066656857,2,17,0.015964815129752927,2,0.0,-9.15592412591804
26,VWC+Upland,0.27714460566973304,2,18,0.04734541316287652,1,3.430537498820291,-1.3375369383007905
27,Sedge+Grass,0.31670446572862104,2,19,0.03653444095618267,1,6.283505263160895,0.23555854731354403
28,Sedge+Upland,0.29695220115480936,2,20,0.04854581296669496,1,4.129277972877422,-0.5600092195183265
29,Grass+Upland,0.285122579366202,2,21,0.05323669703582109,1,3.371085822655241,-0.9312588209560572
