,Model,MSE,Size,Number,SE,Performance
0,wind_speed,0.4538008055702258,1,0,0.05468141974614559,0
1,PPFD_Avg,0.44498838799523993,1,1,0.049956393742006965,1
2,AirTC_Avg,0.42398161590243233,1,2,0.041400294278792216,1
3,VPD,0.4368879765027216,1,3,0.0535580153138067,1
4,Temp,0.45767247512099046,1,4,0.05684498694364901,0
5,VWC,0.41689808026792424,1,5,0.05064305416347836,1
6,Sedge,0.405107460917907,1,6,0.04796229913828585,2
7,Shrub,0.44690694480085025,1,7,0.053560766788796906,1
8,Grass,0.4258374833625771,1,8,0.052631362388127836,1
9,Out_of_Basin,0.4356967555884458,1,9,0.0405641233909262,1
10,wind_speed+Sedge,0.3313993752288565,2,0,0.043768131148757924,0
11,PPFD_Avg+Sedge,0.38194099293373995,2,1,0.04308496434434711,0
12,AirTC_Avg+Sedge,0.3869524642397488,2,2,0.03256241348160107,0
13,VPD+Sedge,0.40699794010135154,2,3,0.04578344873702911,0
14,Temp+Sedge,0.39407503361218826,2,4,0.03196197159546069,0
15,VWC+Sedge,0.29143135748779725,2,5,0.03332156771513614,2
16,Sedge+Shrub,0.39980202731805486,2,6,0.04242253943234849,0
17,Sedge+Grass,0.39980982222100675,2,7,0.04938491177607206,0
18,Sedge+Out_of_Basin,0.359478326550045,2,8,0.040391334487583454,0
19,wind_speed+VWC+Sedge,0.27318884354674067,3,0,0.03997025916519897,1
20,PPFD_Avg+VWC+Sedge,0.2849170643338221,3,1,0.041014774688877036,1
21,AirTC_Avg+VWC+Sedge,0.2704161096966409,3,2,0.04383425752468937,1
22,VPD+VWC+Sedge,0.284200125462268,3,3,0.04376381294026204,1
23,Temp+VWC+Sedge,0.26137509264696107,3,4,0.042847887371580025,2
24,VWC+Sedge+Shrub,0.28320742577993513,3,5,0.04163279005098294,1
25,VWC+Sedge+Grass,0.27713868943332104,3,6,0.03974943774110659,1
26,VWC+Sedge+Out_of_Basin,0.2654912401235845,3,7,0.03603512183286073,1
27,wind_speed+Temp+VWC+Sedge,0.22662791420798986,4,0,0.03721207664070709,2
28,PPFD_Avg+Temp+VWC+Sedge,0.26230493645147335,4,1,0.038749034689256695,1
29,AirTC_Avg+Temp+VWC+Sedge,0.245193573903473,4,2,0.04179637069349798,1
30,VPD+Temp+VWC+Sedge,0.25000901663193714,4,3,0.04010138880114869,1
31,Temp+VWC+Sedge+Shrub,0.24906986636767037,4,4,0.03938635354640107,1
32,Temp+VWC+Sedge+Grass,0.24833650086291673,4,5,0.03264623582988477,1
33,Temp+VWC+Sedge+Out_of_Basin,0.24183636141949708,4,6,0.034800044919989975,1
34,wind_speed+PPFD_Avg+Temp+VWC+Sedge,0.21316040656954596,5,0,0.03716848354028558,1
35,wind_speed+AirTC_Avg+Temp+VWC+Sedge,0.2114079231807986,5,1,0.03230431518803768,1
36,wind_speed+VPD+Temp+VWC+Sedge,0.2129943062074496,5,2,0.03681455753487597,1
37,wind_speed+Temp+VWC+Sedge+Shrub,0.20777682945379614,5,3,0.03912367503488366,1
38,wind_speed+Temp+VWC+Sedge+Grass,0.20872676933939918,5,4,0.03630571621960267,1
39,wind_speed+Temp+VWC+Sedge+Out_of_Basin,0.2076926682234731,5,5,0.0366277517757352,2
40,wind_speed+PPFD_Avg+Temp+VWC+Sedge+Out_of_Basin,0.19598007268083562,6,0,0.03680700289507254,2
41,wind_speed+AirTC_Avg+Temp+VWC+Sedge+Out_of_Basin,0.20038206054898378,6,1,0.031959159909478625,1
42,wind_speed+VPD+Temp+VWC+Sedge+Out_of_Basin,0.21215514796067134,6,2,0.048306594083231055,1
43,wind_speed+Temp+VWC+Sedge+Shrub+Out_of_Basin,0.20271309709229335,6,3,0.04102766642029943,1
44,wind_speed+Temp+VWC+Sedge+Grass+Out_of_Basin,0.20973284118490523,6,4,0.036642800045577864,1
45,wind_speed+PPFD_Avg+AirTC_Avg+Temp+VWC+Sedge+Out_of_Basin,0.19812025352523266,7,0,0.03426597247308873,1
46,wind_speed+PPFD_Avg+VPD+Temp+VWC+Sedge+Out_of_Basin,0.20042412502852774,7,1,0.04171049797036695,1
47,wind_speed+PPFD_Avg+Temp+VWC+Sedge+Shrub+Out_of_Basin,0.19257268267047525,7,2,0.04014892555583436,1
48,wind_speed+PPFD_Avg+Temp+VWC+Sedge+Grass+Out_of_Basin,0.19090936978854336,7,3,0.03584584359972128,2
49,wind_speed+PPFD_Avg+AirTC_Avg+Temp+VWC+Sedge+Grass+Out_of_Basin,0.19209296801972284,8,0,0.03456280096048015,1
50,wind_speed+PPFD_Avg+VPD+Temp+VWC+Sedge+Grass+Out_of_Basin,0.19520553958668593,8,1,0.03978272246346655,1
51,wind_speed+PPFD_Avg+Temp+VWC+Sedge+Shrub+Grass+Out_of_Basin,0.18855226526017693,8,2,0.02635358681286624,2
52,wind_speed+PPFD_Avg+AirTC_Avg+Temp+VWC+Sedge+Shrub+Grass+Out_of_Basin,0.19159128108271592,9,0,0.035492574617119584,1
53,wind_speed+PPFD_Avg+VPD+Temp+VWC+Sedge+Shrub+Grass+Out_of_Basin,0.18636799107079738,9,1,0.04337136822853548,2
54,wind_speed+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Sedge+Shrub+Grass+Out_of_Basin,0.18099927164619292,10,0,0.04366763354286035,2
55,wind_speed+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Sedge+Shrub+Grass+Out_of_Basin,0.18099927164619292,10,0,0.04366763354286035,2
