,Model,MSE,Size,Number,SE,Performance,T,T2
0,wind_speed,0.28277261781270036,1,0,0.012969376457495643,0,96.72384850581724,96.72384850581724
1,air_pressure,0.28207882724793737,1,1,0.011563885674783482,0,106.88442050979461,106.88442050979461
2,PPFD_Avg,0.04220413570172876,1,2,0.004168386609652804,1,0.0,0.0
3,AirTC_Avg,0.242530754396183,1,3,0.01138262766078723,0,90.51692119099124,90.51692119099124
4,VPD,0.20924713504487663,1,4,0.010559631969476194,0,80.59238274878479,80.59238274878479
5,Temp,0.25123807023447625,1,5,0.01110235583137084,0,96.54426145999341,96.54426145999341
6,VWC,0.28572741983378286,1,6,0.010780302773646848,0,115.40205304857932,115.40205304857932
7,Sedge,0.28193339109176163,1,7,0.013702147006649314,0,91.67968859798911,91.67968859798911
8,Shrub,0.2829884199277206,1,8,0.014310591837703158,0,88.48049374399281,88.48049374399281
9,Grass,0.28506040573417835,1,9,0.015090742264394452,0,84.96362271358478,84.96362271358478
10,Upland,0.2615746966312528,1,10,0.01687880624780868,0,69.11014041000512,69.11014041000512
11,wind_speed+PPFD_Avg,0.039603619332285726,2,0,0.0037213766080423398,2,0.7099186159667004,-2.5490321829801807
12,air_pressure+PPFD_Avg,0.03888239261783412,2,1,0.004136990618346198,2,0.0,-3.0979842027250775
13,PPFD_Avg+AirTC_Avg,0.04025298648811724,2,2,0.003098192637025862,2,1.4524597476998926,-2.0576735041106256
14,PPFD_Avg+VPD,0.03904981833174964,2,3,0.0034211840152004462,2,0.17082124815622815,-3.20382812526604
15,PPFD_Avg+Temp,0.04150563169524607,2,4,0.004357066274744056,0,2.3914021304836806,-0.6344840897177904
16,PPFD_Avg+VWC,0.040577031640937344,2,5,0.004408764555699155,1,1.5352633193556453,-1.468849854638269
17,PPFD_Avg+Sedge,0.04126932561516271,2,6,0.003596668585038777,0,2.3849179455562566,-0.929994766606369
18,PPFD_Avg+Shrub,0.04088893136561578,2,7,0.0040013154367848375,0,1.9095402397472558,-1.2467283808767526
19,PPFD_Avg+Grass,0.04256393101452917,2,8,0.0040025228007958,0,3.5030574489975757,0.3410132637518082
20,PPFD_Avg+Upland,0.040866469584508354,2,9,0.003855380787105887,0,1.9217153697978409,-1.2903716865974049
21,wind_speed+air_pressure+PPFD_Avg,0.03676535195930016,3,0,0.004575005322294118,1,6.152810039156636,-1.87991818222018
22,wind_speed+PPFD_Avg+AirTC_Avg,0.037498742134829025,3,1,0.004638583642095901,0,6.761045041993048,-1.2193214401990242
23,wind_speed+PPFD_Avg+VPD,0.03513494297854136,3,2,0.003378782175831066,1,5.435781030428817,-3.842722280202709
24,wind_speed+PPFD_Avg+Temp,0.03780890439325155,3,3,0.0036086596670941063,0,8.005401593752921,-1.0710433957192573
25,wind_speed+PPFD_Avg+VWC,0.03695921574568687,3,4,0.0038324439126145326,1,6.94325928257334,-1.867886438204456
26,wind_speed+PPFD_Avg+Sedge,0.03660713286738534,3,5,0.0032863745963389182,1,7.058176321965051,-2.3587026193895575
27,wind_speed+PPFD_Avg+Shrub,0.03749126631190955,3,6,0.0032905543400525684,0,7.990988892281404,-1.4414348995461896
28,wind_speed+PPFD_Avg+Grass,0.038643854419365825,3,7,0.0036072791329965605,0,8.857076967393388,-0.23803428120549466
29,wind_speed+PPFD_Avg+Upland,0.03610619268445545,3,8,0.003768084544196796,1,6.148003235385057,-2.717364955475729
30,air_pressure+PPFD_Avg+AirTC_Avg,0.03356110087146982,3,9,0.004106453581129858,1,3.457940363258812,-5.000126745647253
31,air_pressure+PPFD_Avg+VPD,0.03547538032232684,3,10,0.003771337498950182,1,5.516127945569273,-3.333503550247712
32,air_pressure+PPFD_Avg+Temp,0.03566945750622058,3,11,0.0036512170102101695,1,5.796144273409375,-3.18931129597466
33,air_pressure+PPFD_Avg+VWC,0.03566382543804985,3,12,0.00375699212398774,1,5.714391034896039,-3.154564635783271
34,air_pressure+PPFD_Avg+Sedge,0.03469984578418049,3,13,0.004096337551213529,1,4.553139809172476,-3.9349182822614326
35,air_pressure+PPFD_Avg+Shrub,0.037543702869787005,3,14,0.004248557715153688,0,7.139915625336305,-1.236475915123593
36,air_pressure+PPFD_Avg+Grass,0.03712284951847364,3,15,0.0042795789573358,0,6.71827299033315,-1.6191165123587303
37,air_pressure+PPFD_Avg+Upland,0.03645235233340546,3,16,0.004132467437809005,1,6.203738657497731,-2.276208206251049
38,PPFD_Avg+AirTC_Avg+VPD,0.03455664061600274,3,17,0.0039372693599504386,1,4.504878628568191,-4.14860124539113
39,PPFD_Avg+AirTC_Avg+Temp,0.03827906605355476,3,18,0.003458628967302362,0,8.643968063392236,-0.6128295913868058
40,PPFD_Avg+AirTC_Avg+VWC,0.029946638845844704,3,19,0.003989281911689213,2,0.0,-8.516157863771328
41,PPFD_Avg+AirTC_Avg+Sedge,0.039208973942294334,3,20,0.004189431262279257,0,8.76962717666996,0.30380851799215397
42,PPFD_Avg+AirTC_Avg+Shrub,0.03888809359910751,3,21,0.0037834856920596935,0,8.907502575679144,0.005569828386339345
43,PPFD_Avg+AirTC_Avg+Grass,0.040482360945646424,3,22,0.004538143647217987,0,9.550459426036769,1.4270755861824505
44,PPFD_Avg+AirTC_Avg+Upland,0.03767433841730196,3,23,0.0035234790898294303,0,7.952306793905835,-1.217638278602029
45,PPFD_Avg+VPD+Temp,0.03372753787749792,3,24,0.003283557480989671,1,4.0080361966228155,-5.345676314195865
46,PPFD_Avg+VPD+VWC,0.03202251173999463,3,25,0.0034887148037411374,1,2.145459380709563,-6.943021174263513
47,PPFD_Avg+VPD+Sedge,0.038939187638167214,3,26,0.003954851035441565,0,8.768147470131565,0.05435362548814398
48,PPFD_Avg+VPD+Shrub,0.03818399294797671,3,27,0.0041454282115618996,0,7.842260887126619,-0.6531639952790325
49,PPFD_Avg+VPD+Grass,0.038303409634000765,3,28,0.003724499024178468,0,8.386699971802834,-0.5696912828142404
50,PPFD_Avg+VPD+Upland,0.03815829255097931,3,29,0.0038977939649614524,0,8.064194921357227,-0.6977624773075621
51,wind_speed+PPFD_Avg+AirTC_Avg+VWC,0.030540858037793762,4,0,0.0042483122239119955,0,3.0159656964106842,0.558479587139923
52,air_pressure+PPFD_Avg+AirTC_Avg+VWC,0.028035771053727558,4,1,0.005174590749429191,1,0.7789170473687405,-1.6018591512068439
53,PPFD_Avg+AirTC_Avg+VPD+VWC,0.028939767668187188,4,2,0.004426545623099216,1,1.6068515254795388,-0.9254805475248934
54,PPFD_Avg+AirTC_Avg+Temp+VWC,0.027038400941156723,4,3,0.004733999015591715,2,0.0,-2.5730534866034596
55,PPFD_Avg+AirTC_Avg+VWC+Sedge,0.030574635155226338,4,4,0.004672069766852618,0,2.912051718792723,0.5598887957529222
56,PPFD_Avg+AirTC_Avg+VWC+Shrub,0.029787754184533007,4,5,0.0030741896618361178,0,2.6678340985938167,-0.17279256906062151
57,PPFD_Avg+AirTC_Avg+VWC+Grass,0.03068516701613439,4,6,0.004961686466370252,0,2.9126298445016183,0.6353673753249842
58,PPFD_Avg+AirTC_Avg+VWC+Upland,0.03012701959591917,4,7,0.004576100183439754,0,2.569349333276616,0.16274296966773003
59,wind_speed+PPFD_Avg+AirTC_Avg+Temp+VWC,0.027503865712793795,5,0,0.004396752348971006,0,2.099056437383774,0.394602554470793
60,air_pressure+PPFD_Avg+AirTC_Avg+Temp+VWC,0.025146997657449998,5,1,0.00430005675303704,1,0.0,-1.6198565507509168
61,PPFD_Avg+AirTC_Avg+VPD+Temp+VWC,0.026180376751042546,5,2,0.003879727020260284,1,0.977284109701238,-0.7678187590306478
62,PPFD_Avg+AirTC_Avg+Temp+VWC+Sedge,0.030149753887897486,5,3,0.00468005344980132,0,4.31136534254106,2.560007043073203
63,PPFD_Avg+AirTC_Avg+Temp+VWC+Shrub,0.02709111838790397,5,4,0.0037758019334776676,0,1.8607883679576713,0.04768423040990849
64,PPFD_Avg+AirTC_Avg+Temp+VWC+Grass,0.028770980501640685,5,5,0.004916422014976259,0,3.0389791102565185,1.3904166884170042
65,PPFD_Avg+AirTC_Avg+Temp+VWC+Upland,0.027480664029941572,5,6,0.003752631216482752,0,2.239609606560612,0.40099283399224406
