,Model,MSE,Size,Number,SE,Performance
0,wind_speed,0.28316629600000004,1,0,0.013733865,0
1,air_pressure,0.28156385100000003,1,1,0.013437926,0
2,PPFD_Avg,0.042175155,1,2,0.00390859,1
3,AirTC_Avg,0.242247891,1,3,0.009940721,0
4,VPD,0.2094132,1,4,0.009337574,0
5,Temp,0.251357997,1,5,0.01779566,0
6,VWC,0.28550818,1,6,0.015163675,0
7,Sedge,0.282457085,1,7,0.013712782,0
8,Shrub,0.283818507,1,8,0.014799163999999997,0
9,Grass,0.285493314,1,9,0.016123421000000002,0
10,Upland,0.262045146,1,10,0.011921746,0
11,wind_speed+PPFD_Avg,0.039444965,2,0,0.003531349,1
12,air_pressure+PPFD_Avg,0.038690942,2,1,0.00507517,1
13,PPFD_Avg+AirTC_Avg,0.041097598,2,2,0.004749348,1
14,PPFD_Avg+VPD,0.039284099,2,3,0.003626074,1
15,PPFD_Avg+Temp,0.041553212,2,4,0.004303718,1
16,PPFD_Avg+VWC,0.04025742,2,5,0.003817649,1
17,PPFD_Avg+Sedge,0.04138856,2,6,0.005106894,1
18,PPFD_Avg+Shrub,0.040593587,2,7,0.003881924,1
19,PPFD_Avg+Grass,0.042296855,2,8,0.004109503,1
20,PPFD_Avg+Upland,0.04119014,2,9,0.003782882,1
21,wind_speed+air_pressure+PPFD_Avg,0.036522294,3,0,0.003995505,0
22,wind_speed+PPFD_Avg+AirTC_Avg,0.037064532,3,1,0.003655551,0
23,wind_speed+PPFD_Avg+VPD,0.035059105,3,2,0.003708903,1
24,wind_speed+PPFD_Avg+Temp,0.038164898,3,3,0.003793457,0
25,wind_speed+PPFD_Avg+VWC,0.036350214,3,4,0.003518788,0
26,wind_speed+PPFD_Avg+Sedge,0.036267025,3,5,0.003462609,0
27,wind_speed+PPFD_Avg+Shrub,0.037787254,3,6,0.003975604000000001,0
28,wind_speed+PPFD_Avg+Grass,0.038527078,3,7,0.004304907,0
29,wind_speed+PPFD_Avg+Upland,0.03639914,3,8,0.003002633,0
30,air_pressure+PPFD_Avg+AirTC_Avg,0.03320626,3,9,0.0042503490000000005,1
31,air_pressure+PPFD_Avg+VPD,0.035441107,3,10,0.003967642,1
32,air_pressure+PPFD_Avg+Temp,0.036182349,3,11,0.003236889,0
33,air_pressure+PPFD_Avg+VWC,0.035300588,3,12,0.003663635,1
34,air_pressure+PPFD_Avg+Sedge,0.033861176,3,13,0.004281423,1
35,air_pressure+PPFD_Avg+Shrub,0.037517201,3,14,0.004484396,0
36,air_pressure+PPFD_Avg+Grass,0.037227405,3,15,0.005052583,0
37,air_pressure+PPFD_Avg+Upland,0.036337903,3,16,0.002945033,0
38,PPFD_Avg+AirTC_Avg+VPD,0.034223902,3,17,0.004386977,1
39,PPFD_Avg+AirTC_Avg+Temp,0.037895683,3,18,0.003326905,0
40,PPFD_Avg+AirTC_Avg+VWC,0.030712596,3,19,0.00514492,1
41,PPFD_Avg+AirTC_Avg+Sedge,0.039196493,3,20,0.004166538,0
42,PPFD_Avg+AirTC_Avg+Shrub,0.038471477,3,21,0.003564892,0
43,PPFD_Avg+AirTC_Avg+Grass,0.039775542,3,22,0.003005526,0
44,PPFD_Avg+AirTC_Avg+Upland,0.037852286,3,23,0.004779261,0
45,PPFD_Avg+VPD+Temp,0.033960786,3,24,0.003947655,1
46,PPFD_Avg+VPD+VWC,0.031993907,3,25,0.00372816,1
47,PPFD_Avg+VPD+Sedge,0.039013068,3,26,0.004075893,0
48,PPFD_Avg+VPD+Shrub,0.037491601,3,27,0.002762519,0
49,PPFD_Avg+VPD+Grass,0.03841171,3,28,0.003167552,0
50,PPFD_Avg+VPD+Upland,0.038392475,3,29,0.00447285,0
51,PPFD_Avg+Temp+VWC,0.038422157,3,30,0.005211594,0
52,PPFD_Avg+Temp+Sedge,0.039405702,3,31,0.004276739,0
53,PPFD_Avg+Temp+Shrub,0.037466505,3,32,0.003626129,0
54,PPFD_Avg+Temp+Grass,0.041025086,3,33,0.00420697,0
55,PPFD_Avg+Temp+Upland,0.038028288,3,34,0.004573121,0
56,PPFD_Avg+VWC+Sedge,0.034516645,3,35,0.003218706,1
57,PPFD_Avg+VWC+Shrub,0.034647575,3,36,0.003127317,1
58,PPFD_Avg+VWC+Grass,0.035863242000000004,3,37,0.003675781,0
59,PPFD_Avg+VWC+Upland,0.032588465,3,38,0.002946907,1
60,PPFD_Avg+Sedge+Shrub,0.040667655,3,39,0.004334441,0
61,PPFD_Avg+Sedge+Grass,0.040977108,3,40,0.004034809,0
62,PPFD_Avg+Sedge+Upland,0.040223294,3,41,0.00412586,0
63,PPFD_Avg+Shrub+Grass,0.040682134,3,42,0.00418227,0
64,PPFD_Avg+Shrub+Upland,0.039492874,3,43,0.003434865,0
65,PPFD_Avg+Grass+Upland,0.039862193,3,44,0.003958267,0
66,wind_speed+air_pressure+PPFD_Avg+AirTC_Avg,0.03125505260185467,4,0,0.003753235838613736,0
67,wind_speed+air_pressure+PPFD_Avg+VPD,0.031900425545609845,4,1,0.0037743626309272656,0
68,wind_speed+air_pressure+PPFD_Avg+VWC,0.031430492897976864,4,2,0.0036496791246146978,0
69,wind_speed+air_pressure+PPFD_Avg+Sedge,0.0326601408963948,4,3,0.003391102648068773,0
70,wind_speed+PPFD_Avg+AirTC_Avg+VPD,0.031636655521077604,4,4,0.0036520087530662383,0
71,wind_speed+PPFD_Avg+AirTC_Avg+VWC,0.030261269420221476,4,5,0.00466070580697381,1
72,wind_speed+PPFD_Avg+VPD+Temp,0.031090791312143862,4,6,0.004257459379412073,1
73,wind_speed+PPFD_Avg+VPD+VWC,0.027534807636083392,4,7,0.0035397986104561494,1
74,wind_speed+PPFD_Avg+VPD+Sedge,0.033726096451245975,4,8,0.004765872538326532,0
75,wind_speed+PPFD_Avg+VPD+Shrub,0.03342842850433912,4,9,0.004829307125859102,0
76,wind_speed+PPFD_Avg+VPD+Grass,0.03524397749703522,4,10,0.003690222137636441,0
77,wind_speed+PPFD_Avg+VPD+Upland,0.03255510431562411,4,11,0.003922787701739543,0
78,wind_speed+PPFD_Avg+VWC+Sedge,0.03220191355192819,4,12,0.004251301132982002,0
