,Model,MSE,Size,Number,SE,Performance
0,PPFD_Avg,0.04781162154994452,1,0,0.004233254697912643,2
1,wind_speed+PPFD_Avg,0.045157215408968276,2,0,0.004076109646969305,1
2,PPFD_Avg+AirTC_Avg,0.0467646266284304,2,1,0.004227181671550865,1
3,PPFD_Avg+VPD,0.04447488022790125,2,2,0.0037295874411675876,2
4,PPFD_Avg+Temp,0.047257551909002736,2,3,0.003855576499845814,1
5,PPFD_Avg+VWC,0.04554627224063998,2,4,0.004026661954953611,1
6,PPFD_Avg+Sedge,0.046690574842423886,2,5,0.0051991008107391936,1
7,PPFD_Avg+Shrub,0.046422831861051526,2,6,0.003694664839789568,1
8,PPFD_Avg+Grass,0.04783600053495383,2,7,0.0036257690969361094,1
9,PPFD_Avg+Out_of_Basin,0.04596112756098257,2,8,0.0045510971024612925,1
10,wind_speed+PPFD_Avg+VPD,0.04127356484525615,3,0,0.005120649541152569,1
11,PPFD_Avg+AirTC_Avg+VPD,0.04062744749772752,3,1,0.004846487444456771,1
12,PPFD_Avg+VPD+Temp,0.04025151843323277,3,2,0.005093180728636197,1
13,PPFD_Avg+VPD+VWC,0.03915890123204193,3,3,0.005023229168394954,2
14,PPFD_Avg+VPD+Sedge,0.04538636417833912,3,4,0.0041302805718611635,0
15,PPFD_Avg+VPD+Shrub,0.042488638627369055,3,5,0.004522178215901892,1
16,PPFD_Avg+VPD+Grass,0.04379208290077628,3,6,0.0033365589730156753,1
17,PPFD_Avg+VPD+Out_of_Basin,0.0420550378164082,3,7,0.004716262685695923,1
18,wind_speed+PPFD_Avg+VPD+VWC,0.03590441215497513,4,0,0.0046429766890325064,1
19,PPFD_Avg+AirTC_Avg+VPD+VWC,0.036537615401239565,4,1,0.004921363093199768,1
20,PPFD_Avg+VPD+Temp+VWC,0.03744892121921658,4,2,0.004556160412310463,1
21,PPFD_Avg+VPD+VWC+Sedge,0.0382026219068048,4,3,0.004494234783798586,1
22,PPFD_Avg+VPD+VWC+Shrub,0.03499854337287449,4,4,0.005227543739247028,2
23,PPFD_Avg+VPD+VWC+Grass,0.038722971422550496,4,5,0.005774119055547819,1
24,PPFD_Avg+VPD+VWC+Out_of_Basin,0.036172374326964324,4,6,0.004324007457294985,1
25,wind_speed+PPFD_Avg+VPD+VWC+Shrub,0.033834045005409784,5,0,0.005341839041223,1
26,PPFD_Avg+AirTC_Avg+VPD+VWC+Shrub,0.03447365656135237,5,1,0.005272974388311192,1
27,PPFD_Avg+VPD+Temp+VWC+Shrub,0.033618797997437944,5,2,0.006275033905190187,1
28,PPFD_Avg+VPD+VWC+Sedge+Shrub,0.035686839110020456,5,3,0.005195931206011141,1
29,PPFD_Avg+VPD+VWC+Shrub+Grass,0.035137538598748366,5,4,0.006774311862501684,1
30,PPFD_Avg+VPD+VWC+Shrub+Out_of_Basin,0.03335666449510367,5,5,0.004585674402391228,2
31,wind_speed+PPFD_Avg+VPD+VWC+Shrub+Out_of_Basin,0.03259705942448836,6,0,0.007434483725638428,1
32,PPFD_Avg+AirTC_Avg+VPD+VWC+Shrub+Out_of_Basin,0.032526101042489826,6,1,0.0047994510984454815,1
33,PPFD_Avg+VPD+Temp+VWC+Shrub+Out_of_Basin,0.03245155009360561,6,2,0.007520770847772636,2
34,PPFD_Avg+VPD+VWC+Sedge+Shrub+Out_of_Basin,0.03538550433018123,6,3,0.005571961507431372,1
35,PPFD_Avg+VPD+VWC+Shrub+Grass+Out_of_Basin,0.03429082183216977,6,4,0.005293349018169922,1
36,wind_speed+PPFD_Avg+VPD+Temp+VWC+Shrub+Out_of_Basin,0.030073242349445903,7,0,0.005185876839102113,2
37,PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Shrub+Out_of_Basin,0.03270541352243333,7,1,0.0060458593758167985,1
38,PPFD_Avg+VPD+Temp+VWC+Sedge+Shrub+Out_of_Basin,0.03295369007455696,7,2,0.006236321025223301,1
39,PPFD_Avg+VPD+Temp+VWC+Shrub+Grass+Out_of_Basin,0.03379508326935839,7,3,0.006700117762585629,1
40,wind_speed+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Shrub+Out_of_Basin,0.030961682750851933,8,0,0.00605407941323878,2
41,wind_speed+PPFD_Avg+VPD+Temp+VWC+Sedge+Shrub+Out_of_Basin,0.031110862959172245,8,1,0.0067977327360044205,1
42,wind_speed+PPFD_Avg+VPD+Temp+VWC+Shrub+Grass+Out_of_Basin,0.03204548889706781,8,2,0.007635066030234153,1
43,wind_speed+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Sedge+Shrub+Out_of_Basin,0.030372332535376807,9,0,0.0056644236330417415,2
44,wind_speed+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Shrub+Grass+Out_of_Basin,0.03154994835219165,9,1,0.008595773277195896,1
45,wind_speed+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Sedge+Shrub+Grass+Out_of_Basin,0.030483786985772986,10,0,0.0071944380993996,2
46,wind_speed+PPFD_Avg+AirTC_Avg+VPD+Temp+VWC+Sedge+Shrub+Grass+Out_of_Basin,0.030483786985772986,10,0,0.0071944380993996,2
