,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,index,MSE,Model,Performance,SE
0,0,0,0,0,0,0,0,0,0,0,0,1_0,0.3685114532052433,H,0,0.011168946578267641
1,1,1,1,1,1,1,1,1,1,1,1,1_1,0.3703158053086133,wind_speed,0,0.01108397033088941
2,2,2,2,2,2,2,2,2,2,2,2,1_2,0.35847086375056403,air_pressure,0,0.010649010713830414
3,3,3,3,3,3,3,3,3,3,3,3,1_3,0.35818339488805634,PPFD_Avg,0,0.01036051439218248
4,4,4,4,4,4,4,4,4,4,4,4,1_4,0.34208790895188784,AirTC_Avg,0,0.01021785768511888
5,5,5,5,5,5,5,5,5,5,5,5,1_5,0.3563850428334426,VPD,0,0.009976831669204694
6,6,6,6,6,6,6,6,6,6,6,6,1_6,0.3707847252810521,Temp,0,0.011571485767674784
7,7,7,7,7,7,7,7,7,7,7,7,1_7,0.3475237642323417,VWC,0,0.009920372702957621
8,8,8,8,8,8,8,8,8,8,8,8,1_8,0.31956477673811784,Sedge,1,0.008870077353759427
9,9,9,9,9,9,9,9,9,9,9,9,1_9,0.3507829498430928,Shrub,0,0.011526402795818048
10,10,10,10,10,10,10,10,10,10,10,10,1_10,0.33875672098572746,Grass,0,0.011061066371062104
11,11,11,11,11,11,11,11,11,11,11,11,1_11,0.35702146166367543,Sparse,0,0.010852850756270445
12,12,12,12,12,12,12,12,12,12,12,12,1_12,0.3569506008401163,Out_of_Basin,0,0.010559566460433396
13,13,13,13,13,13,13,13,13,13,13,13,2_0,0.2923091220779288,H+Sedge,0,0.007939262514727027
14,14,14,14,14,14,14,14,14,14,14,14,2_1,0.2639202282271099,wind_speed+Sedge,0,0.007477485754597624
15,15,15,15,15,15,15,15,15,15,15,15,2_2,0.2355795367325603,air_pressure+Sedge,0,0.007359495140927039
16,16,16,16,16,16,16,16,16,16,16,16,2_3,0.29801146731967104,PPFD_Avg+Sedge,0,0.00769726500728011
17,17,17,17,17,17,17,17,17,17,17,17,2_4,0.3004134831325244,AirTC_Avg+Sedge,0,0.00808133465755712
18,18,18,18,18,18,18,18,18,18,18,18,2_5,0.3219319577127679,VPD+Sedge,0,0.008477762782776855
19,19,19,19,19,19,19,19,19,19,19,19,2_6,0.3130388500884408,Temp+Sedge,0,0.00885778825171131
20,20,20,20,20,20,20,20,20,20,20,20,2_7,0.2083460244582172,VWC+Sedge,1,0.007539384991840981
21,21,21,21,21,21,21,21,21,21,21,21,2_8,0.3158476065220764,Sedge+Shrub,0,0.00923629332185372
22,22,22,22,22,22,22,22,22,22,22,22,2_9,0.31469658555243696,Sedge+Grass,0,0.009320557289287127
23,23,23,23,23,23,23,23,23,23,23,23,2_10,0.3127464235947669,Sedge+Sparse,0,0.008777174272117601
24,24,24,24,24,24,24,24,24,24,24,24,2_11,0.2792294048395759,Sedge+Out_of_Basin,0,0.00811249520436713
25,25,25,25,25,25,25,25,25,25,25,25,3_0,0.18242618498662594,H+VWC+Sedge,0,0.007436115542196495
26,26,26,26,26,26,26,26,26,26,26,26,3_1,0.20076623010750905,wind_speed+VWC+Sedge,0,0.006059649299949957
27,27,27,27,27,27,27,27,27,27,27,27,3_2,0.20687790471811965,air_pressure+VWC+Sedge,0,0.006878358389500001
28,28,28,28,28,28,28,28,28,28,28,28,3_3,0.19164260949751907,PPFD_Avg+VWC+Sedge,0,0.007098492446173953
29,29,29,29,29,29,29,29,29,29,29,29,3_4,0.18939952480751174,AirTC_Avg+VWC+Sedge,0,0.007422215538359994
30,30,30,30,30,30,30,30,30,30,30,30,3_5,0.1947978366797454,VPD+VWC+Sedge,0,0.007414853727090515
31,31,31,31,31,31,31,31,31,31,31,31,3_6,0.17405519439966075,Temp+VWC+Sedge,1,0.006049937629621833
32,32,32,32,32,32,32,32,32,32,32,32,3_7,0.1883162390483919,VWC+Sedge+Shrub,0,0.007279104037721494
33,33,33,33,33,33,33,33,33,33,33,33,3_8,0.19114794647243388,VWC+Sedge+Grass,0,0.007372032577628302
34,34,34,34,34,34,34,34,34,34,34,34,3_9,0.2025351057114799,VWC+Sedge+Sparse,0,0.007073167449989144
