,Unnamed: 0,index,MSE,Model,Performance,SE
0,0,1_0,0.08527692185365685,H,0,0.0027712920271080283
1,1,1_1,0.2849975512594404,wind_speed,0,0.0040796802233093845
2,2,1_2,0.28606186601081235,air_pressure,0,0.0043311853727226925
3,3,1_3,0.04415587928185772,PPFD_Avg,1,0.0015729681962141895
4,4,1_4,0.24762777232900185,AirTC_Avg,0,0.004429831472244543
5,5,1_5,0.20753355050891265,VPD,0,0.0037614265901637174
6,6,1_6,0.2506772013224186,Temp,0,0.004440932388434146
7,7,1_7,0.28722786448996845,VWC,0,0.004321388397530335
8,8,1_8,0.28370284005626417,Sedge,0,0.004193850322186648
9,9,1_9,0.2878891574771332,Shrub,0,0.004573072528043092
10,10,1_10,0.2872411140249756,Grass,0,0.004452496780367628
11,11,1_11,0.2835413354851719,Sparse,0,0.004425916175463793
12,12,1_12,0.27923505105668434,Out_of_Basin,0,0.004272747218819871
13,13,2_0,0.04277748005933265,H+PPFD_Avg,0,0.0015614658801856294
14,14,2_1,0.0415034698363406,wind_speed+PPFD_Avg,1,0.0015469303361109149
15,15,2_2,0.041727792685558734,air_pressure+PPFD_Avg,1,0.0015111880755848475
16,16,2_3,0.04288682001271938,PPFD_Avg+AirTC_Avg,0,0.0015724009932784994
17,17,2_4,0.0412520198194966,PPFD_Avg+VPD,1,0.001533471856765861
18,18,2_5,0.0440232140616726,PPFD_Avg+Temp,0,0.0015067341467966074
19,19,2_6,0.04266130698140863,PPFD_Avg+VWC,1,0.0014652908757923563
20,20,2_7,0.04376065608542698,PPFD_Avg+Sedge,0,0.0015118336317970706
21,21,2_8,0.043331930200227464,PPFD_Avg+Shrub,0,0.0015462719367469887
22,22,2_9,0.044752069424845685,PPFD_Avg+Grass,0,0.001566807892651379
23,23,2_10,0.0438977814312012,PPFD_Avg+Sparse,0,0.0015693751192964994
24,24,2_11,0.04220854701585024,PPFD_Avg+Out_of_Basin,1,0.001502714676207526
25,25,3_0,0.04012520648913513,H+wind_speed+PPFD_Avg,0,0.0016143538235685296
26,26,3_1,0.03951873146219975,H+air_pressure+PPFD_Avg,0,0.0014844184347786516
27,27,3_2,0.041098968916234636,H+PPFD_Avg+VPD,0,0.0015675384811297823
28,28,3_3,0.03261478504562402,H+PPFD_Avg+VWC,1,0.0013222450595023628
29,29,3_4,0.0420538085839033,H+PPFD_Avg+Out_of_Basin,0,0.0016038290296584866
30,30,3_5,0.03964582689058629,wind_speed+air_pressure+PPFD_Avg,0,0.0014792852115779373
31,31,3_6,0.03969376538090704,wind_speed+PPFD_Avg+AirTC_Avg,0,0.0014433200037984586
32,32,3_7,0.03738449205884727,wind_speed+PPFD_Avg+VPD,0,0.001451377313120897
33,33,3_8,0.04051642172010038,wind_speed+PPFD_Avg+Temp,0,0.0014817486545715135
34,34,3_9,0.039319957332167824,wind_speed+PPFD_Avg+VWC,0,0.0014921745089916231
35,35,3_10,0.0385102377748276,wind_speed+PPFD_Avg+Sedge,0,0.0014099483618347005
36,36,3_11,0.039380188835315695,wind_speed+PPFD_Avg+Shrub,0,0.0014388485726480554
37,37,3_12,0.0408953908918997,wind_speed+PPFD_Avg+Grass,0,0.0015001137709636607
38,38,3_13,0.04109125377794138,wind_speed+PPFD_Avg+Sparse,0,0.0016058858411957947
39,39,3_14,0.0386164887880363,wind_speed+PPFD_Avg+Out_of_Basin,0,0.001423798163520429
40,40,3_15,0.036475207576537765,air_pressure+PPFD_Avg+AirTC_Avg,0,0.001327934669407124
41,41,3_16,0.038510327395676,air_pressure+PPFD_Avg+VPD,0,0.0013809343170859006
42,42,3_17,0.03923219285600736,air_pressure+PPFD_Avg+Temp,0,0.0014531173795523725
43,43,3_18,0.03835907171472439,air_pressure+PPFD_Avg+VWC,0,0.0014739993912868438
44,44,3_19,0.036697302818161616,air_pressure+PPFD_Avg+Sedge,0,0.0011497894625552894
45,45,3_20,0.04049266240187935,air_pressure+PPFD_Avg+Shrub,0,0.0014570208987816475
46,46,3_21,0.03988894643863563,air_pressure+PPFD_Avg+Grass,0,0.001518734196955898
