,MSE,Model,Number,Performance,SE,Size
0,0.2829386108769949,wind_speed,0,0,0.013844500890197595,1
1,0.2819401178818244,air_pressure,1,0,0.016618712732426013,1
2,0.04153436084115412,PPFD_Avg,2,1,0.003934365291105436,1
3,0.23910159557978283,AirTC_Avg,3,0,0.015436738270561181,1
4,0.20901619423146978,VPD,4,0,0.017860047006078007,1
5,0.25128873224902204,Temp,5,0,0.014182796661480961,1
6,0.28544932522357896,VWC,6,0,0.014809678280911778,1
7,0.2772382221838971,Sedge,7,0,0.01657733654142733,1
8,0.28341419995223277,Shrub,8,0,0.01719673533358513,1
9,0.2850651914096079,Grass,9,0,0.016627004426882988,1
10,0.281081777388913,Sparse,10,0,0.01375766573454629,1
11,0.26931337781019227,Out_of_Basin,11,0,0.017114990992109502,1
12,0.038444854580212615,wind_speed+PPFD_Avg,0,1,0.0029251693703749963,2
13,0.03692642812039531,air_pressure+PPFD_Avg,1,1,0.003962241832293209,2
14,0.03916229433822676,PPFD_Avg+AirTC_Avg,2,1,0.003967198259235399,2
15,0.03720640501954664,PPFD_Avg+VPD,3,1,0.0032300527641409,2
16,0.040360470130621225,PPFD_Avg+Temp,4,1,0.0036963324287465284,2
17,0.03851864622968116,PPFD_Avg+VWC,5,1,0.0035872677877766845,2
18,0.04011629453667642,PPFD_Avg+Sedge,6,1,0.003381178602401239,2
19,0.039942600833436766,PPFD_Avg+Shrub,7,1,0.0036804393603639633,2
20,0.041464080071648673,PPFD_Avg+Grass,8,0,0.003681662622916931,2
21,0.040916622924216266,PPFD_Avg+Sparse,9,0,0.004572299422261163,2
22,0.03876180081861737,PPFD_Avg+Out_of_Basin,10,1,0.003387043439091873,2
23,0.033591138818145655,wind_speed+air_pressure+PPFD_Avg,0,0,0.003624626683636365,3
24,0.03470739042004603,wind_speed+PPFD_Avg+AirTC_Avg,1,0,0.004100557861073154,3
25,0.03374759807903494,wind_speed+PPFD_Avg+VPD,2,0,0.0037137354021202986,3
26,0.03606095772453479,wind_speed+PPFD_Avg+Temp,3,0,0.004630054321536349,3
27,0.0335100975137342,wind_speed+PPFD_Avg+VWC,4,0,0.004998954412507184,3
28,0.03485297645261295,wind_speed+PPFD_Avg+Sedge,5,0,0.003041053566813108,3
29,0.036753014979945244,wind_speed+PPFD_Avg+Shrub,6,0,0.003324618189402481,3
30,0.03666720392659609,wind_speed+PPFD_Avg+Grass,7,0,0.003982073362166863,3
31,0.03776592746999812,wind_speed+PPFD_Avg+Sparse,8,0,0.004597343226147355,3
32,0.03508130202510248,wind_speed+PPFD_Avg+Out_of_Basin,9,0,0.004342789401170186,3
33,0.029835515234464437,air_pressure+PPFD_Avg+AirTC_Avg,10,0,0.004778281245216202,3
34,0.033049104922507615,air_pressure+PPFD_Avg+VPD,11,0,0.004415380367244849,3
35,0.03149782340248394,air_pressure+PPFD_Avg+Temp,12,0,0.004894276056390426,3
36,0.03325000898600233,air_pressure+PPFD_Avg+VWC,13,0,0.005112405924384194,3
37,0.03202792747980394,air_pressure+PPFD_Avg+Sedge,14,0,0.0029403446869988126,3
38,0.03390563332881094,air_pressure+PPFD_Avg+Shrub,15,0,0.003031206318251065,3
39,0.03369161255754831,air_pressure+PPFD_Avg+Grass,16,0,0.0036983658294930935,3
40,0.03576202478442265,air_pressure+PPFD_Avg+Sparse,17,0,0.0033029859635957844,3
41,0.030423761188187192,air_pressure+PPFD_Avg+Out_of_Basin,18,0,0.003360410420339942,3
42,0.030715492058671447,PPFD_Avg+AirTC_Avg+VPD,19,0,0.004137218025169979,3
43,0.035770069159397684,PPFD_Avg+AirTC_Avg+Temp,20,0,0.0031451150630806414,3
44,0.024670101896933947,PPFD_Avg+AirTC_Avg+VWC,21,1,0.003769644622539259,3
45,0.03730654235872672,PPFD_Avg+AirTC_Avg+Sedge,22,0,0.003747170339134254,3
46,0.03710265334834891,PPFD_Avg+AirTC_Avg+Shrub,23,0,0.004943986457483694,3
47,0.03823941320116687,PPFD_Avg+AirTC_Avg+Grass,24,0,0.003135797815214145,3
48,0.03830775040642572,PPFD_Avg+AirTC_Avg+Sparse,25,0,0.0034578291873497216,3
49,0.03510762786932556,PPFD_Avg+AirTC_Avg+Out_of_Basin,26,0,0.003334837539751031,3
50,0.0316549762681003,PPFD_Avg+VPD+Temp,27,0,0.003242604930343412,3
51,0.029000269442956497,PPFD_Avg+VPD+VWC,28,0,0.004436184631949362,3
52,0.03701511799211373,PPFD_Avg+VPD+Sedge,29,0,0.0035432632322960193,3
53,0.03530311576489451,PPFD_Avg+VPD+Shrub,30,0,0.0031051475460474828,3
54,0.03618310018611351,PPFD_Avg+VPD+Grass,31,0,0.0053463128720642695,3
