,Model,MSE,Size,Number,SE,Performance,T,T2
0,wind_speed,0.4542357451264983,1,0,0.048149156527419794,0,5.1738908739766,5.1738908739766
1,(z-d)/L,0.454948404027185,1,1,0.049619694505999644,0,5.14089900734312,5.14089900734312
2,PPFD_Avg,0.4466533588402691,1,2,0.051457928804399936,0,4.317152216816129,4.317152216816129
3,AirTC_Avg,0.42364372570895187,1,3,0.057317292030059405,0,2.1933828291788657,2.1933828291788657
4,VPD,0.4343354928419042,1,4,0.042225052767576945,0,3.6747476015385176,3.6747476015385176
5,Temp,0.4563439575065049,1,5,0.05888246345876311,0,4.698174829897966,4.698174829897966
6,VWC,0.4205304063715119,1,6,0.042009918043381125,0,2.3583628338839087,2.3583628338839087
7,Sedge,0.4038905142222038,1,7,0.04255058847430711,1,0.7540409075315092,0.7540409075315092
8,Shrub,0.44439878802418037,1,8,0.04162964804330181,0,4.674970624687417,4.674970624687417
9,Grass,0.428348441962233,1,9,0.04357101434453375,0,3.047613930316944,3.047613930316944
10,Upland,0.3959887836100459,1,10,0.03852069578483613,1,0.0,0.0
11,wind_speed+Sedge,0.32911886937816714,2,0,0.04434023044251383,1,4.838568800838232,-6.235741992865204
12,wind_speed+Upland,0.3606361363664095,2,1,0.04450249935699327,1,7.809517919287749,-3.28983251740702
13,(z-d)/L+Sedge,0.32231873668520317,2,2,0.038054003196066506,1,4.56281187662874,-7.452006204445045
14,(z-d)/L+Upland,0.37196598145448595,2,3,0.03948712328710715,1,9.497960421042032,-2.3852166244574553
15,PPFD_Avg+Sedge,0.37991714935188625,2,4,0.027467798397378167,1,12.09552485831726,-1.8606264776724715
16,PPFD_Avg+Upland,0.39862587119655224,2,5,0.04694989570866285,0,11.040565816351448,0.2378382366260715
17,AirTC_Avg+Sedge,0.3819321587778865,2,6,0.046012078027295365,0,9.62973419822159,-1.2830181918719823
18,AirTC_Avg+Upland,0.38299268759677263,2,7,0.04623465855823148,0,9.699574489802288,-1.1828509797913729
19,VPD+Sedge,0.40511340235890614,2,8,0.043602936365190394,0,12.161434400776722,0.8589980250642872
20,VPD+Upland,0.40671824362368314,2,9,0.04102659653478841,0,12.746908575647963,1.044269765441078
21,Temp+Sedge,0.3934995279493847,2,10,0.04976355228006643,0,10.19049112601906,-0.2166549159118023
22,Temp+Upland,0.3969226530918971,2,11,0.04768196848340426,0,10.780661797671018,0.0834453765778277
23,VWC+Sedge,0.27807837993571105,2,12,0.03704295145334275,2,0.0,-12.084586864499181
24,VWC+Upland,0.3468971218977163,2,13,0.04955886631015116,1,6.092093493728347,-4.283752490991387
25,Sedge+Shrub,0.40064945536438,2,14,0.05211665970915754,0,10.499674590610567,0.3938991147781112
26,Sedge+Grass,0.39659931789888575,2,15,0.05272484888277405,0,10.074472851064307,0.051212341503594924
27,Sedge+Upland,0.35876002298004545,2,16,0.04116772505737857,1,7.979600981602329,-3.6167585611724924
28,Shrub+Upland,0.39516701273372784,2,17,0.04227578514622084,0,11.409629061630651,-0.07869830724834051
29,Grass+Upland,0.3671522385417011,2,18,0.040494287610837905,1,8.889672196097488,-2.826011781379709
30,wind_speed+VWC+Sedge,0.26223030933704505,3,0,0.038804061861383715,1,1.159559083870504,-1.6180669926524354
31,(z-d)/L+VWC+Sedge,0.2504953055476333,3,1,0.030051424983202422,2,0.0064122475518941565,-3.167283809973974
32,PPFD_Avg+VWC+Sedge,0.25637711652290096,3,2,0.031338770175221665,2,0.6406061155703829,-2.449711032898648
33,AirTC_Avg+VWC+Sedge,0.2512874220920986,3,3,0.03387286527465761,2,0.0889306687285827,-2.9233934503420995
34,VPD+VWC+Sedge,0.2506200661198483,3,4,0.036041412772474746,2,0.01865487577094182,-2.909941381144984
35,Temp+VWC+Sedge,0.2504367625445867,3,5,0.03996935140465565,2,0.0,-2.7782136861149342
36,VWC+Sedge+Shrub,0.25760013532856757,3,6,0.03885233960880508,2,0.7038884274422263,-2.0894411082839643
37,VWC+Sedge+Grass,0.2555052345028629,3,7,0.02361365313356802,2,0.597996379582447,-2.814480595903714
38,VWC+Sedge+Upland,0.253620153981529,3,8,0.03793545618294502,2,0.3164123693629258,-2.526583171528002
39,wind_speed+(z-d)/L+VWC+Sedge,0.23749615151724823,4,0,0.03746402236013322,1,1.5896359897175525,-1.2938234873228935
40,wind_speed+PPFD_Avg+VWC+Sedge,0.2266820951725533,4,1,0.037865711063889335,2,0.45462083099677175,-2.363147024867781
41,wind_speed+AirTC_Avg+VWC+Sedge,0.22466971531253127,4,2,0.036654418496828066,2,0.24912871213265955,-2.602380053105389
42,wind_speed+VPD+VWC+Sedge,0.23353314021970747,4,3,0.03490198012588585,2,1.2165605118364047,-1.7448071344058989
43,wind_speed+Temp+VWC+Sedge,0.23049830631265703,4,4,0.03268675831418486,2,0.9146427033278902,-2.115067662503282
44,wind_speed+VWC+Sedge+Shrub,0.2358002822774786,4,5,0.04587560676530153,1,1.2598025316372858,-1.3175648876567005
45,wind_speed+VWC+Sedge+Grass,0.22231707969532538,4,6,0.03649408855472944,2,0.0,-2.8456672271019294
46,wind_speed+VWC+Sedge+Upland,0.23814758537861866,4,7,0.03966469576021347,1,1.6086974732082704,-1.1953537939113597
47,(z-d)/L+PPFD_Avg+VWC+Sedge,0.24090302359606863,4,8,0.03443036122812389,0,2.0289927639281,-0.9898454058938532
48,(z-d)/L+AirTC_Avg+VWC+Sedge,0.23237921875759973,4,9,0.03317874794016166,2,1.1174068340222945,-1.9040041068786622
49,(z-d)/L+VPD+VWC+Sedge,0.2366655784326496,4,10,0.03986527965213882,1,1.4541088750094706,-1.3361500065624174
50,(z-d)/L+Temp+VWC+Sedge,0.22899929950712247,4,11,0.03223722955519275,2,0.7516407977875714,-2.286632687321212
51,(z-d)/L+VWC+Sedge+Shrub,0.23215589841783818,4,12,0.03725159913358071,2,1.0333776008742466,-1.832603025589842
52,(z-d)/L+VWC+Sedge+Grass,0.23520742101597303,4,13,0.031936721207846165,1,1.4558860198350887,-1.630414923114344
53,(z-d)/L+VWC+Sedge+Upland,0.23246529322138507,4,14,0.03168126192291541,2,1.1501602361997758,-1.9299810688672228
54,PPFD_Avg+AirTC_Avg+VWC+Sedge,0.24454487369909736,4,15,0.027208080258191273,0,2.6745568349598123,-0.6674347753946245
55,PPFD_Avg+VPD+VWC+Sedge,0.25004720294808375,4,16,0.03708492993735933,0,2.919170310314897,-0.03913349964330665
56,PPFD_Avg+Temp+VWC+Sedge,0.23813322491936023,4,17,0.04039585884122429,1,1.5912860696956401,-1.1858545539362635
57,PPFD_Avg+VWC+Sedge+Shrub,0.2322609448574258,4,18,0.028219079869111492,2,1.1806366756065494,-2.0347202648193483
58,PPFD_Avg+VWC+Sedge+Grass,0.22834398093098424,4,19,0.03209353851676757,2,0.6792534954491075,-2.360673942760122
59,PPFD_Avg+VWC+Sedge+Upland,0.2327743735305001,4,20,0.03269374781740721,2,1.1689906146898468,-1.873462323732143
60,AirTC_Avg+VPD+VWC+Sedge,0.23787243057968602,4,21,0.033558148336672484,0,1.7185111056452342,-1.3186226284267406
61,AirTC_Avg+Temp+VWC+Sedge,0.22803515882705255,4,22,0.03668499013472457,2,0.6052535859062115,-2.2616203431852906
62,AirTC_Avg+VWC+Sedge+Shrub,0.2351084200661919,4,23,0.03563438141053644,1,1.3735804913192142,-1.5678873219024847
63,AirTC_Avg+VWC+Sedge+Grass,0.23750248026620704,4,24,0.038152335484149896,1,1.5753814816819944,-1.2821206906794096
64,AirTC_Avg+VWC+Sedge+Upland,0.245463025518962,4,25,0.03260247110262262,0,2.5906360803611017,-0.5281584706091128
65,VPD+Temp+VWC+Sedge,0.2301792412572068,4,26,0.03619734106669652,2,0.8377814889576847,-2.057618816015031
66,VPD+VWC+Sedge+Shrub,0.23788616329722473,4,27,0.03829033597587879,1,1.6121382450479258,-1.2419441060136045
67,VPD+VWC+Sedge+Grass,0.23761384843315617,4,28,0.030630146306469597,0,1.7585109186585104,-1.394741498146387
68,VPD+VWC+Sedge+Upland,0.23865773415779445,4,29,0.027815240123522985,0,1.9505263592980164,-1.3248986200027626
69,Temp+VWC+Sedge+Shrub,0.23293515719721283,4,30,0.039311874790934453,2,1.0842222682768872,-1.7098901863631464
70,Temp+VWC+Sedge+Grass,0.237206558055208,4,31,0.04563171487750946,1,1.395737601251859,-1.1945791539236292
