,Model,MSE,Size,Number,SE,Performance,T,T2
0,wind_speed,0.28574149371001506,1,0,0.013696971771375048,0,90.57106278272865,90.57106278272865
1,(z-d)/L,0.13427173989264868,1,1,0.013160190690374742,0,34.198633194700555,34.198633194700555
2,PPFD_Avg,0.047490825784022,1,2,0.004470452862873669,1,0.0,0.0
3,AirTC_Avg,0.24248907761824898,1,3,0.012930673704809605,0,78.06442921009955,78.06442921009955
4,VPD,0.20897575754237616,1,4,0.01178831073050623,0,70.15577602919657,70.15577602919657
5,Temp,0.2580047257240932,1,5,0.016186846187825683,0,68.66219260156956,68.66219260156956
6,VWC,0.28676808115478514,1,6,0.01209828401040316,0,101.61227447909113,101.61227447909113
7,Sedge,0.2836891651715222,1,7,0.013717823455555035,0,89.66749595847928,89.66749595847928
8,Shrub,0.2853709488709826,1,8,0.013348086065204942,0,92.5581753293052,92.5581753293052
9,Grass,0.28568201182581937,1,9,0.011649661506308659,0,104.55447336657882,104.55447336657882
10,Upland,0.2726584088309703,1,10,0.012742501227324189,0,91.32845775300912,91.32845775300912
11,wind_speed+PPFD_Avg,0.04514390770462742,2,0,0.004495890234773178,2,0.7134692473928167,-2.0274794214361203
12,(z-d)/L+PPFD_Avg,0.045199625690738626,2,1,0.004591884964016395,2,0.7563316768751578,-1.9582106593783866
13,PPFD_Avg+AirTC_Avg,0.04625640860362508,2,2,0.004239993237335822,0,1.8253741988058207,-1.0973501600482711
14,PPFD_Avg+VPD,0.044388150635051485,2,3,0.003667233768707992,2,0.0,-2.939041193372576
15,PPFD_Avg+Temp,0.04684048165172614,2,4,0.004326103405864962,0,2.368406346567409,-0.5725951968256713
16,PPFD_Avg+VWC,0.04507813693292177,2,5,0.004037969779185587,2,0.6928350477994698,-2.1936511828398824
17,PPFD_Avg+Sedge,0.04654525845182312,2,6,0.003156925800288408,0,2.4416724436370254,-0.9463384499556619
18,PPFD_Avg+Shrub,0.04596928968676735,2,7,0.004244717094686922,1,1.5438615768647739,-1.3518745497783533
19,PPFD_Avg+Grass,0.04795695305146166,2,8,0.005115042963239259,0,3.1057627526473475,0.37582512314823924
20,PPFD_Avg+Upland,0.046818355929740346,2,9,0.0043760169640706635,0,2.331348828801758,-0.5887808841081227
21,wind_speed+(z-d)/L+PPFD_Avg,0.04478712286212291,3,0,0.004088579002831206,0,8.96234284524037,0.39787901932319797
22,wind_speed+PPFD_Avg+AirTC_Avg,0.04342514058647501,3,1,0.004221245241587883,0,7.707051548209266,-0.9432889856474933
23,wind_speed+PPFD_Avg+VPD,0.040818777107948165,3,2,0.0036811579379199895,1,5.824308446817495,-3.762482992505056
24,wind_speed+PPFD_Avg+Temp,0.04436257057193031,3,3,0.0038914648988892025,0,8.76924525924477,-0.026202286596248927
25,wind_speed+PPFD_Avg+VWC,0.041040853298946973,3,4,0.0038084108882026836,1,5.94711355568603,-3.467718517526909
26,wind_speed+PPFD_Avg+Sedge,0.04247308613021601,3,5,0.0042185761574320335,1,6.912465158372494,-1.8765228233770248
27,wind_speed+PPFD_Avg+Shrub,0.043343091318563814,3,6,0.004223405542089221,0,7.636791934591141,-1.0233595071433546
28,wind_speed+PPFD_Avg+Grass,0.04437516615359973,3,7,0.004813969521979244,0,8.01583911551595,-0.011751920263610416
29,wind_speed+PPFD_Avg+Upland,0.04322475752053133,3,8,0.00391853500263143,0,7.765894024292952,-1.1873105680258975
30,(z-d)/L+PPFD_Avg+AirTC_Avg,0.044552089132467235,3,9,0.0059270294150673515,0,7.30054722129043,0.128831037817057
31,(z-d)/L+PPFD_Avg+VPD,0.04091897698797912,3,10,0.0048130050153830945,1,5.290456013673722,-3.1402579693451815
32,(z-d)/L+PPFD_Avg+Temp,0.04439357044741124,3,11,0.0055330987999408126,0,7.474429994805883,0.004472022443438339
33,(z-d)/L+PPFD_Avg+VWC,0.04261578831867892,3,12,0.005553538682329927,0,6.156843600112767,-1.4586743834903901
34,(z-d)/L+PPFD_Avg+Sedge,0.042219021629669215,3,13,0.005558606319789149,1,5.863215908115251,-1.784084077481817
35,(z-d)/L+PPFD_Avg+Shrub,0.04470313544227658,3,14,0.00366204179077246,0,9.265380176137803,0.3328925476198015
36,(z-d)/L+PPFD_Avg+Grass,0.0444299147003939,3,15,0.004295635205322506,0,8.485088335737885,0.040500526083668276
37,(z-d)/L+PPFD_Avg+Upland,0.04405826667366605,3,16,0.0043471660345800025,0,8.13494068092827,-0.3176936072127511
38,PPFD_Avg+AirTC_Avg+VPD,0.03945606683170058,3,17,0.004657844296722333,1,4.201060070179225,-4.556850247836543
39,PPFD_Avg+AirTC_Avg+VWC,0.03421179499194612,3,18,0.005005362324132339,2,0.0,-8.982760441375168
40,PPFD_Avg+VPD+Temp,0.04010577310983302,3,19,0.004115337763287037,1,4.981934157503213,-4.255188039403445
41,PPFD_Avg+VPD+VWC,0.03596733831425411,3,20,0.00439558923381767,2,1.4434564874111608,-8.05707980894618
42,PPFD_Avg+VPD+Sedge,0.04428982660931258,3,21,0.004933110704804959,0,7.854529985882941,-0.08761233421228906
43,PPFD_Avg+VPD+Shrub,0.04274962068495398,3,22,0.005224367920502873,0,6.463373071042299,-1.406016816858732
44,PPFD_Avg+VPD+Grass,0.04392443894734702,3,23,0.005650386080942447,0,7.04749719270095,-0.3770492825343654
45,PPFD_Avg+VPD+Upland,0.043393350952207116,3,24,0.004095807932931935,0,7.775648901194788,-0.9911023977489507
46,PPFD_Avg+Temp+VWC,0.04322625819509269,3,25,0.005606122059494096,0,6.569683962366476,-0.9499781974105724
47,PPFD_Avg+VWC+Sedge,0.0404617867440059,3,26,0.004095802113075386,1,5.292977508804769,-3.9117742024059274
48,PPFD_Avg+VWC+Shrub,0.039725715735096555,3,27,0.0037631288929579937,1,4.822766038035545,-4.860066699554062
49,PPFD_Avg+VWC+Grass,0.041222753616634626,3,28,0.0050881934418409115,1,5.3801479605014855,-2.764273013320023
50,PPFD_Avg+VWC+Upland,0.03819361187771758,3,29,0.003656513970848819,1,3.5183744451184764,-6.551651039309718
51,wind_speed+PPFD_Avg+AirTC_Avg+VWC,0.03506734729357643,4,0,0.006385838520828624,0,2.463962721571371,0.5775462057475007
52,wind_speed+PPFD_Avg+VPD+VWC,0.03302192977126765,4,1,0.004423512836664872,1,1.2021797222293034,-0.9756368042224217
53,(z-d)/L+PPFD_Avg+AirTC_Avg+VWC,0.03441350039146218,4,2,0.006327211338673156,0,1.9890718609402844,0.13693995236639367
54,(z-d)/L+PPFD_Avg+VPD+VWC,0.03387929467898775,4,3,0.004635734746450177,0,1.9687285398695933,-0.2669453047073732
55,PPFD_Avg+AirTC_Avg+VPD+VWC,0.03304693647836638,4,4,0.004682710034149186,1,1.1839490359532074,-0.9308307283358664
56,PPFD_Avg+AirTC_Avg+Temp+VWC,0.033064807866065665,4,5,0.00517223631425962,1,1.1251590559854656,-0.8728316366367241
57,PPFD_Avg+AirTC_Avg+VWC+Sedge,0.03489150683377122,4,6,0.004881505372662954,0,2.819672125007378,0.5324853493111997
58,PPFD_Avg+AirTC_Avg+VWC+Shrub,0.03363711464009265,4,7,0.004026714268536266,0,1.893822045681186,-0.4899816835076525
59,PPFD_Avg+AirTC_Avg+VWC+Grass,0.03477815792768572,4,8,0.0050497164567755975,0,2.657506948695608,0.43629551304021225
60,PPFD_Avg+AirTC_Avg+VWC+Upland,0.03415512945156469,4,9,0.004454557149642083,0,2.2815904458426703,-0.046320399872853205
61,PPFD_Avg+VPD+Temp+VWC,0.033964979963617345,4,10,0.004109677075799614,0,2.201202154943869,-0.20873822035005346
62,PPFD_Avg+VPD+VWC+Sedge,0.03496839394137417,4,11,0.0037806527534524985,0,3.3575052249381234,0.6606487522050121
63,PPFD_Avg+VPD+VWC+Shrub,0.031771037696725686,4,12,0.0035934651594451052,2,0.0,-2.1696222162297043
64,PPFD_Avg+VPD+VWC+Grass,0.034216322248771004,4,13,0.004633773203673078,0,2.284054645389719,0.003635383288287837
65,PPFD_Avg+VPD+VWC+Upland,0.03316520277292854,4,14,0.003586519320677494,1,1.5040633055329613,-0.9309416172849113
66,wind_speed+PPFD_Avg+VPD+VWC+Shrub,0.030489981981654535,5,0,0.005714979464071341,1,0.0,-1.0393699508415342
67,(z-d)/L+PPFD_Avg+VPD+VWC+Shrub,0.03221233915580967,5,1,0.005806055816503577,1,1.157960559229021,0.35399293764003575
68,PPFD_Avg+AirTC_Avg+VPD+VWC+Shrub,0.031076712627326832,5,2,0.004363380808353979,1,0.446944690545636,-0.6727812499978489
69,PPFD_Avg+VPD+Temp+VWC+Shrub,0.030648670949461207,5,3,0.0043070268972046485,1,0.12145733213658182,-1.0959534095869796
70,PPFD_Avg+VPD+VWC+Sedge+Shrub,0.03270307719138717,5,4,0.004494201670635277,1,1.6672545672578671,0.8871761138298205
