datetime,SoilMoist(4)
6/23/2017 0:00,78.48
6/23/2017 0:30,78.48
6/23/2017 1:00,78.48
6/23/2017 1:30,78.48
6/23/2017 2:00,78.48
6/23/2017 2:30,78.415
6/23/2017 3:00,78.35
6/23/2017 3:30,78.52
6/23/2017 4:00,78.69
6/23/2017 4:30,78.72
6/23/2017 5:00,78.75
6/23/2017 5:30,78.75
6/23/2017 6:00,78.75
6/23/2017 6:30,78.75
6/23/2017 7:00,78.75
6/23/2017 7:30,78.75
6/23/2017 8:00,78.75
6/23/2017 8:30,78.75
6/23/2017 9:00,78.75
6/23/2017 9:30,78.72
6/23/2017 10:00,78.69
6/23/2017 10:30,78.72
6/23/2017 11:00,78.75
6/23/2017 11:30,78.685
6/23/2017 12:00,78.62
6/23/2017 12:30,78.585
6/23/2017 13:00,78.55
6/23/2017 13:30,78.485
6/23/2017 14:00,78.42
6/23/2017 14:30,78.385
6/23/2017 15:00,78.35
6/23/2017 15:30,78.185
6/23/2017 16:00,78.02
6/23/2017 16:30,77.885
6/23/2017 17:00,77.75
6/23/2017 17:30,77.685
6/23/2017 18:00,77.62
6/23/2017 18:30,77.585
6/23/2017 19:00,77.55
6/23/2017 19:30,77.75
6/23/2017 20:00,77.95
6/23/2017 20:30,77.885
6/23/2017 21:00,77.82
6/23/2017 21:30,77.755
6/23/2017 22:00,77.69
6/23/2017 22:30,77.62
6/23/2017 23:00,77.55
6/23/2017 23:30,77.485
6/24/2017 0:00,77.42
6/24/2017 0:30,77.42
6/24/2017 1:00,77.42
6/24/2017 1:30,77.42
6/24/2017 2:00,77.42
6/24/2017 2:30,77.42
6/24/2017 3:00,77.42
6/24/2017 3:30,77.42
6/24/2017 4:00,77.42
6/24/2017 4:30,77.42
6/24/2017 5:00,77.42
6/24/2017 5:30,77.385
6/24/2017 6:00,77.35
6/24/2017 6:30,77.35
6/24/2017 7:00,77.35
6/24/2017 7:30,77.35
6/24/2017 8:00,77.35
6/24/2017 8:30,77.35
6/24/2017 9:00,77.35
6/24/2017 9:30,77.385
6/24/2017 10:00,77.42
6/24/2017 10:30,77.385
6/24/2017 11:00,77.35
6/24/2017 11:30,77.32
6/24/2017 12:00,77.29
6/24/2017 12:30,77.255
6/24/2017 13:00,77.22
6/24/2017 13:30,77.185
6/24/2017 14:00,77.15
6/24/2017 14:30,77.085
6/24/2017 15:00,77.02
6/24/2017 15:30,76.955
6/24/2017 16:00,76.89
6/24/2017 16:30,76.76
6/24/2017 17:00,76.63
6/24/2017 17:30,76.595
6/24/2017 18:00,76.56
6/24/2017 18:30,76.46
6/24/2017 19:00,76.36
6/24/2017 19:30,76.065
6/24/2017 20:00,75.77
6/24/2017 20:30,76.13
6/24/2017 21:00,76.49
6/24/2017 21:30,76.46
6/24/2017 22:00,76.43
6/24/2017 22:30,76.395
6/24/2017 23:00,76.36
6/24/2017 23:30,76.36
6/25/2017 0:00,76.36
6/25/2017 0:30,76.36
6/25/2017 1:00,76.36
6/25/2017 1:30,76.33
6/25/2017 2:00,76.3
6/25/2017 2:30,76.3
6/25/2017 3:00,76.3
6/25/2017 3:30,76.2
6/25/2017 4:00,76.1
6/25/2017 4:30,76.065
6/25/2017 5:00,76.03
