datetime,Model: PPFD_Avg+AirTC_Avg+Sedge,Model: PPFD_Avg,Model: AirTC_Avg,Model: Sedge,Model: PPFD_Avg+AirTC_Avg,Model: PPFD_Avg+Sedge,BestModel: PPFD_Avg
2016-07-10 16:30:00,-5.6139483,-6.5096807,-4.758894,-1.6286767,-6.649707,-6.460629,-6.8321795
2016-07-10 17:00:00,-5.529304,-6.4322267,-4.7930946,-1.6286767,-6.5730996,-6.3819685,-6.7175803
2016-07-10 17:30:00,-4.3517556,-5.2956443,-4.763116,-1.6286767,-5.3697286,-5.151669,-5.112611
2016-07-10 18:00:00,-3.591557,-4.555086,-4.570014,-1.6286767,-4.2183332,-4.220148,-4.2631946
2016-07-10 18:30:00,-5.028598,-5.9090495,-4.620401,-1.6286767,-6.0493402,-5.8506465,-5.943493
2016-07-10 19:00:00,-4.676046,-5.6314335,-4.754953,-1.6286767,-5.7332754,-5.513106,-5.5327373
2016-07-10 19:30:00,-4.3690743,-5.256434,-4.583244,-1.6286767,-5.3257184,-5.113783,-5.068573
2016-07-10 20:00:00,-4.140497,-4.9111133,-4.341444,-1.6286767,-4.890116,-4.7215276,-4.680737
2016-07-10 20:30:00,-3.854197,-4.5994196,-4.3163915,-1.6286767,-4.3287373,-4.268383,-4.3048935
2016-07-10 21:00:00,-2.8892937,-4.1861362,-4.4603734,-1.6286767,-3.7595427,-3.8257425,-3.9295483
2016-07-10 21:30:00,-1.7427181,-3.4596443,-4.3373346,-1.6286767,-2.657865,-3.075887,-3.4047773
2016-07-10 22:00:00,-0.7960289,-2.6219273,-4.2564344,-1.6286767,-1.6317759,-2.2824156,-2.6453302
2016-07-10 22:30:00,0.06748641,-1.474278,-4.1176596,-1.6286767,-0.6828704,-1.5133529,-1.6096698
2016-07-10 23:00:00,0.49715936,-0.6794524,-4.026738,-1.6923985,-0.11941599,-0.8095305,-0.8563242
2016-07-10 23:30:00,0.9593543,0.051689632,-3.8846498,-1.6836526,0.52789366,-0.08152174,-0.07129716
2016-07-11 00:00:00,1.2679297,0.6420301,-3.6730907,-1.6749068,1.073402,0.49369252,0.56539094
2016-07-11 00:30:00,1.5700096,1.0604655,-3.5210383,-1.6661611,1.470126,0.90825355,1.0222436
2016-07-11 01:00:00,1.7820204,1.3418266,-3.334799,-1.6574153,1.7703093,1.2029439,1.3397869
2016-07-11 01:30:00,1.9493984,1.541114,-3.2551317,-1.6486695,1.9950172,1.4109899,1.5632688
2016-07-11 02:00:00,2.0057507,1.6592277,-3.1328359,-1.6399236,2.1074393,1.5333408,1.6957227
2016-07-11 02:30:00,2.0542305,1.7304741,-3.0905564,-1.6311778,2.165477,1.6062139,1.7756184
2016-07-11 03:00:00,2.1051793,1.7414333,-3.2191417,-1.622432,2.2078712,1.6154417,1.787908
2016-07-11 03:30:00,2.0624566,1.704163,-3.1751153,-1.6136862,2.161124,1.5737542,1.7461134
2016-07-11 04:00:00,2.0254729,1.6645211,-3.1555479,-1.6134158,2.118156,1.5318314,1.7016579
2016-07-11 04:30:00,1.9357148,1.5452646,-3.1429687,-1.6133916,1.9897033,1.4059261,1.5679234
2016-07-11 05:00:00,1.5960518,1.1801168,-3.133884,-1.6133747,1.5864848,1.0204362,1.1584452
2016-07-11 05:30:00,1.555586,1.13986,-3.12445,-1.6133747,1.5384964,0.9779364,1.1129695
2016-07-11 06:00:00,1.1900846,0.73440874,-3.117112,-1.6133797,1.0722674,0.56759703,0.6650218
2016-07-11 06:30:00,0.7452594,0.22090018,-3.163934,-1.6135293,0.5618557,0.06524897,0.11119772
2016-07-11 07:00:00,-0.16106963,-0.75418055,-3.1150155,-1.6136563,-0.42498076,-0.8953016,-0.92948174
2016-07-11 07:30:00,-2.000254,-3.0124803,-3.157295,-1.6137832,-2.5699446,-2.5645003,-2.9633389
2016-07-11 08:00:00,-2.7468238,-3.5555563,-3.232769,-1.6139102,-3.3391712,-3.1713302,-3.4838185
2016-07-11 08:30:00,-1.965451,-2.929856,-3.0755315,-1.6140372,-2.5138295,-2.4967685,-2.8968446
2016-07-11 09:00:00,-0.41276622,-0.83630896,-2.793552,-1.6141641,-0.55510557,-0.966114,-1.0097191
2016-07-11 09:30:00,-2.5807047,-3.2205389,-2.7243671,-1.6142911,-3.1045275,-2.7904592,-3.1843204
2016-07-11 10:00:00,-2.5776348,-3.2075267,-2.6995585,-1.614418,-3.0891106,-2.7757704,-3.170939
2016-07-11 10:30:00,-2.3167996,-2.9961383,-2.6464472,-1.6141967,-2.7348626,-2.549542,-2.9481783
2016-07-11 11:00:00,-2.9312267,-3.3911047,-2.575166,-1.6136544,-3.367962,-2.9839594,-3.341539
2016-07-11 11:30:00,-1.8408847,-2.3459315,-2.4731362,-1.6152432,-2.0520465,-2.0863562,-2.4225776
2016-07-11 12:00:00,-2.223771,-2.7232225,-2.380191,-1.6133871,-2.4916687,-2.3413415,-2.7256196
2016-07-11 12:30:00,-1.3895748,-1.7485752,-2.254216,-1.6133752,-1.4862691,-1.754408,-1.8696862
2016-07-11 13:00:00,-1.3567065,-1.6838925,-2.1883368,-1.6133747,-1.4412603,-1.6985304,-1.8074204
2016-07-11 13:30:00,-3.287266,-3.467765,-2.1729095,-1.6133748,-3.4331963,-3.070934,-3.4122698
2016-07-11 14:00:00,-3.6645243,-3.8038802,-2.2008455,-1.6133747,-3.7941527,-3.4082806,-3.632357
2016-07-11 14:30:00,-3.3706741,-3.5419176,-2.1841674,-1.6133747,-3.513018,-3.1553133,-3.4738593
2016-07-11 15:00:00,-2.2699878,-2.6391668,-2.0891016,-1.6133748,-2.4691095,-2.2815816,-2.658496
2016-07-11 15:30:00,-3.2440875,-3.3773088,-2.017512,-1.613375,-3.3305857,-2.9680018,-3.3289351
2016-07-11 16:00:00,-3.0326412,-3.2259734,-1.9855295,-1.6133748,-3.1675427,-2.7957935,-3.1899095
2016-07-11 16:30:00,-2.7960238,-3.0746381,-1.9531173,-1.6133748,-2.994506,-2.6235855,-3.0221014
2016-07-11 17:00:00,-2.5518107,-2.873136,-1.9083289,-1.6133747,-2.7629228,-2.4513774,-2.8520815
2016-07-11 17:30:00,-2.5851207,-2.8979933,-1.8821442,-1.6133747,-2.7979162,-2.4710007,-2.8724518
